Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover,O-C,H-L,%CVol,%CTurn,Flow,Trade Price,Ask,Bid
01/03/2004,6.841,,,6.852,6.82,6.878,"1,635,685","11,204,100.00",0.011,0.058,,,0,6.841,6.846,6.841
02/03/2004,6.921,0.08,1.16%,6.878,6.846,6.947,"1,102,678","7,602,000.00",0.042,0.101,-32.59%,-32.15%,"7,602,000.00",6.921,6.926,6.921
03/03/2004,6.953,0.032,0.46%,6.958,6.91,7,"1,278,143","8,891,900.00",0.005,0.09,15.91%,16.97%,"16,493,900.00",6.953,6.958,6.953
04/03/2004,6.963,0.016,0.23%,7,6.947,7,"1,039,720","7,249,600.00",0.032,0.053,-18.65%,-18.47%,"23,743,500.00",6.968,6.968,6.963
05/03/2004,6.942,-0.027,-0.38%,7,6.91,7,"934,812","6,492,600.00",0.058,0.09,-10.09%,-10.44%,"17,250,900.00",6.942,6.942,6.937
08/03/2004,6.974,0.032,0.46%,6.947,6.937,6.984,"869,568","6,054,300.00",0.027,0.048,-6.98%,-6.75%,"23,305,200.00",6.974,6.979,6.974
09/03/2004,6.984,0.011,0.15%,6.984,6.958,6.995,"1,107,433","7,726,500.00",0,0.037,27.35%,27.62%,"31,031,700.00",6.984,6.984,6.979
10/03/2004,7,0.016,0.23%,7,6.984,7.016,"1,871,534","13,106,700.00",0,0.032,69.00%,69.63%,"44,138,400.00",7,7,6.995
11/03/2004,6.889,-0.111,-1.59%,7,6.788,7,"2,338,139","16,081,300.00",0.111,0.212,24.93%,22.70%,"28,057,100.00",6.889,6.889,6.884
12/03/2004,6.873,-0.016,-0.23%,6.682,6.682,6.894,"2,252,103","15,365,400.00",0.191,0.212,-3.68%,-4.45%,"12,691,700.00",6.873,6.889,6.873
15/03/2004,6.751,-0.122,-1.78%,6.714,6.709,6.846,"3,468,708","23,455,900.00",0.037,0.138,54.02%,52.65%,"-10,764,200.00",6.751,6.756,6.751
16/03/2004,6.788,0.037,0.55%,6.735,6.735,6.815,"3,050,707","20,691,800.00",0.053,0.08,-12.05%,-11.78%,"9,927,600.00",6.788,6.788,6.783
17/03/2004,6.809,0.021,0.31%,6.825,6.767,6.825,"2,899,695","19,718,900.00",0.016,0.058,-4.95%,-4.70%,"29,646,500.00",6.809,6.809,6.804
18/03/2004,6.799,-0.011,-0.16%,6.815,6.772,6.852,"1,650,349","11,238,200.00",0.016,0.08,-43.09%,-43.01%,"18,408,300.00",6.799,6.815,6.799
19/03/2004,6.809,0.011,0.16%,6.836,6.788,6.878,"1,175,051","8,016,700.00",0.027,0.09,-28.80%,-28.67%,"26,425,000.00",6.809,6.831,6.809
22/03/2004,6.756,-0.053,-0.78%,6.831,6.74,6.831,"1,056,510","7,161,600.00",0.074,0.09,-10.09%,-10.67%,"19,263,400.00",6.756,6.756,6.751
23/03/2004,6.894,0.138,2.04%,6.778,6.778,6.947,"1,770,295","12,157,300.00",0.117,0.17,67.56%,69.76%,"31,420,700.00",6.894,6.899,6.894
24/03/2004,6.878,-0.016,-0.23%,6.937,6.815,6.937,"1,533,209","10,549,700.00",0.058,0.122,-13.39%,-13.22%,"20,871,000.00",6.878,6.878,6.868
25/03/2004,6.963,0.085,1.23%,6.926,6.862,6.963,"2,217,777","15,339,900.00",0.037,0.101,44.65%,45.41%,"36,210,900.00",6.963,6.963,6.937
26/03/2004,6.968,0.005,0.08%,6.984,6.926,6.984,"1,018,408","7,089,500.00",0.016,0.058,-54.08%,-53.78%,"43,300,400.00",6.968,6.968,6.958
29/03/2004,7.006,0.037,0.53%,6.958,6.905,7.011,"1,583,990","11,033,100.00",0.048,0.106,55.54%,55.63%,"54,333,500.00",7.006,7.006,7
30/03/2004,7.037,0.032,0.45%,7,6.942,7.048,"1,490,918","10,437,000.00",0.037,0.106,-5.88%,-5.40%,"64,770,500.00",7.037,7.037,7.032
31/03/2004,7.117,0.08,1.13%,7.037,7.037,7.196,"3,496,097","24,891,200.00",0.08,0.159,134.49%,138.49%,"89,661,700.00",7.117,7.122,7.117
01/04/2004,7.212,0.095,1.34%,7.122,7.122,7.234,"2,860,760","20,582,700.00",0.09,0.111,-18.17%,-17.31%,"110,244,400.00",7.212,7.218,7.212
02/04/2004,7.281,0.069,0.96%,7.26,7.181,7.313,"2,432,474","17,640,400.00",0.021,0.133,-14.97%,-14.30%,"127,884,800.00",7.281,7.287,7.281
05/04/2004,7.207,-0.074,-1.02%,7.313,7.207,7.34,"1,794,036","12,990,300.00",0.106,0.133,-26.25%,-26.36%,"114,894,500.00",7.207,7.212,7.207
06/04/2004,7.202,-0.005,-0.07%,7.239,7.202,7.303,"1,473,404","10,663,300.00",0.037,0.101,-17.87%,-17.91%,"104,231,200.00",7.202,7.212,7.202
07/04/2004,7.361,0.159,2.21%,7.249,7.207,7.387,"2,024,056","14,806,200.00",0.111,0.18,37.37%,38.85%,"119,037,400.00",7.361,7.361,7.313
08/04/2004,7.568,0.207,2.81%,7.318,7.318,7.589,"2,816,170","21,177,600.00",0.249,0.27,39.14%,43.03%,"140,215,000.00",7.568,7.568,7.541
13/04/2004,7.69,0.122,1.61%,7.557,7.546,7.849,"4,874,426","37,692,500.00",0.133,0.302,73.09%,77.98%,"177,907,500.00",7.69,7.69,7.679
14/04/2004,7.562,-0.127,-1.66%,7.679,7.509,7.727,"2,915,059","22,189,400.00",0.117,0.217,-40.20%,-41.13%,"155,718,100.00",7.562,7.584,7.562
15/04/2004,7.403,-0.159,-2.10%,7.594,7.398,7.626,"1,981,446","14,821,600.00",0.191,0.228,-32.03%,-33.20%,"140,896,500.00",7.403,7.409,7.403
16/04/2004,7.393,-0.011,-0.14%,7.425,7.371,7.456,"2,456,649","18,180,200.00",0.032,0.085,23.98%,22.66%,"122,716,300.00",7.393,7.409,7.393
19/04/2004,7.329,-0.064,-0.86%,7.371,7.308,7.44,"1,383,696","10,172,800.00",0.042,0.133,-43.68%,-44.05%,"112,543,500.00",7.329,7.329,7.318
20/04/2004,7.398,0.069,0.94%,7.329,7.329,7.398,"1,412,803","10,417,300.00",0.069,0.069,2.10%,2.40%,"122,960,800.00",7.398,7.398,7.371
21/04/2004,7.371,-0.027,-0.36%,7.377,7.345,7.425,"1,739,444","12,825,700.00",0.005,0.08,23.12%,23.12%,"110,135,100.00",7.371,7.371,7.361
22/04/2004,7.425,0.053,0.72%,7.377,7.377,7.478,"1,184,409","8,804,100.00",0.048,0.101,-31.91%,-31.36%,"118,939,200.00",7.425,7.435,7.425
23/04/2004,7.425,0,0.00%,7.478,7.409,7.493,"681,822","5,079,700.00",0.053,0.085,-42.43%,-42.30%,"124,018,900.00",7.425,7.425,7.414
26/04/2004,7.462,0.037,0.50%,7.467,7.371,7.499,"1,078,519","8,024,300.00",0.005,0.127,58.18%,57.97%,"132,043,200.00",7.462,7.462,7.451
27/04/2004,7.414,-0.048,-0.64%,7.478,7.35,7.499,"820,464","6,079,300.00",0.064,0.148,-23.93%,-24.24%,"125,963,900.00",7.414,7.419,7.414
28/04/2004,7.318,-0.095,-1.29%,7.425,7.318,7.425,"1,847,965","13,599,100.00",0.106,0.106,125.23%,123.70%,"112,364,800.00",7.318,7.334,7.318
29/04/2004,7.366,0.048,0.65%,7.356,7.308,7.382,"1,409,067","10,351,700.00",0.011,0.074,-23.75%,-23.88%,"122,716,500.00",7.366,7.366,7.34
30/04/2004,7.387,0.021,0.29%,7.366,7.239,7.387,"2,596,283","19,082,000.00",0.021,0.148,84.26%,84.34%,"141,798,500.00",7.387,7.387,7.382
03/05/2004,7.467,0.08,1.08%,7.414,7.356,7.483,"1,072,460","7,966,800.00",0.053,0.127,-58.69%,-58.25%,"149,765,300.00",7.467,7.467,7.446
04/05/2004,7.499,0.032,0.43%,7.531,7.456,7.541,"1,827,366","13,701,100.00",0.032,0.085,70.39%,71.98%,"163,466,400.00",7.499,7.504,7.499
05/05/2004,7.578,0.08,1.06%,7.387,7.35,7.61,"2,522,133","18,919,300.00",0.191,0.26,38.02%,38.09%,"182,385,700.00",7.578,7.578,7.552
06/05/2004,7.451,-0.127,-1.68%,7.525,7.419,7.568,"2,180,231","16,277,600.00",0.074,0.148,-13.56%,-13.96%,"166,108,100.00",7.451,7.462,7.451
07/05/2004,7.515,0.064,0.85%,7.488,7.414,7.552,"2,849,859","21,412,900.00",0.027,0.138,30.71%,31.55%,"187,521,000.00",7.515,7.515,7.499
10/05/2004,7.398,-0.117,-1.55%,7.44,7.292,7.504,"1,874,311","13,856,000.00",0.042,0.212,-34.23%,-35.29%,"173,665,000.00",7.398,7.398,7.371
11/05/2004,7.414,0.016,0.22%,7.393,7.393,7.499,"1,262,281","9,392,400.00",0.021,0.106,-32.65%,-32.21%,"183,057,400.00",7.414,7.419,7.414
12/05/2004,7.403,-0.011,-0.14%,7.419,7.393,7.467,"1,925,965","14,284,100.00",0.016,0.074,52.58%,52.08%,"168,773,300.00",7.403,7.409,7.403
13/05/2004,7.414,0.011,0.14%,7.425,7.398,7.446,"737,599","5,473,800.00",0.011,0.048,-61.70%,-61.68%,"174,247,100.00",7.414,7.414,7.409
14/05/2004,7.387,-0.027,-0.36%,7.403,7.35,7.435,"1,034,142","7,643,700.00",0.016,0.085,40.20%,39.64%,"166,603,400.00",7.387,7.387,7.377
17/05/2004,7.292,-0.095,-1.29%,7.366,7.239,7.371,"1,634,121","11,944,800.00",0.074,0.133,58.02%,56.27%,"154,658,600.00",7.292,7.303,7.292
18/05/2004,7.308,0.016,0.22%,7.303,7.265,7.345,"1,153,992","8,421,300.00",0.005,0.08,-29.38%,-29.50%,"163,079,900.00",7.308,7.308,7.292
19/05/2004,7.387,0.08,1.09%,7.329,7.287,7.393,"1,055,625","7,767,700.00",0.058,0.106,-8.52%,-7.76%,"170,847,600.00",7.387,7.387,7.382
20/05/2004,7.292,-0.095,-1.29%,7.345,7.271,7.361,"790,464","5,775,900.00",0.053,0.09,-25.12%,-25.64%,"165,071,700.00",7.292,7.313,7.292
21/05/2004,7.276,-0.016,-0.22%,7.334,7.249,7.345,"2,204,475","16,060,700.00",0.058,0.095,178.88%,178.06%,"149,011,000.00",7.276,7.287,7.276
24/05/2004,7.345,0.069,0.95%,7.308,7.244,7.382,"1,041,004","7,636,900.00",0.037,0.138,-52.78%,-52.45%,"156,647,900.00",7.345,7.35,7.345
25/05/2004,7.292,-0.053,-0.72%,7.34,7.281,7.34,"1,603,661","11,706,600.00",0.048,0.058,54.05%,53.29%,"144,941,300.00",7.292,7.308,7.292
26/05/2004,7.377,0.085,1.16%,7.371,7.329,7.382,"1,264,698","9,303,600.00",0.005,0.053,-21.14%,-20.53%,"154,244,900.00",7.377,7.377,7.371
27/05/2004,7.308,-0.069,-0.94%,7.387,7.271,7.387,"1,092,908","8,016,600.00",0.08,0.117,-13.58%,-13.83%,"146,228,300.00",7.308,7.318,7.308
28/05/2004,7.324,0.016,0.22%,7.271,7.271,7.334,"1,955,279","14,301,700.00",0.053,0.064,78.91%,78.40%,"160,530,000.00",7.324,7.324,7.303
31/05/2004,7.313,-0.011,-0.15%,7.292,7.276,7.35,"1,286,391","9,411,200.00",0.021,0.074,-34.21%,-34.20%,"151,118,800.00",7.313,7.334,7.313
01/06/2004,7.287,-0.027,-0.36%,7.318,7.276,7.34,"1,554,066","11,329,700.00",0.032,0.064,20.81%,20.39%,"139,789,100.00",7.287,7.292,7.287
02/06/2004,7.419,0.133,1.82%,7.318,7.318,7.493,"1,705,470","12,640,000.00",0.101,0.175,9.74%,11.57%,"152,429,100.00",7.419,7.419,7.409
03/06/2004,7.361,-0.058,-0.79%,7.451,7.329,7.472,"1,231,594","9,094,300.00",0.09,0.143,-27.79%,-28.05%,"143,334,800.00",7.361,7.361,7.34
04/06/2004,7.425,0.064,0.87%,7.371,7.34,7.446,"934,016","6,913,100.00",0.053,0.106,-24.16%,-23.98%,"150,247,900.00",7.425,7.425,7.419
07/06/2004,7.509,0.085,1.14%,7.435,7.425,7.557,"1,174,393","8,788,600.00",0.074,0.133,25.74%,27.13%,"159,036,500.00",7.509,7.509,7.493
08/06/2004,7.573,0.064,0.85%,7.536,7.509,7.647,"1,400,967","10,618,300.00",0.037,0.138,19.29%,20.82%,"169,654,800.00",7.573,7.578,7.573
09/06/2004,7.493,-0.08,-1.05%,7.626,7.483,7.626,"1,565,093","11,796,200.00",0.133,0.143,11.72%,11.09%,"157,858,600.00",7.493,7.493,7.478
10/06/2004,7.456,-0.037,-0.50%,7.425,7.409,7.509,"1,854,026","13,821,500.00",0.032,0.101,18.46%,17.17%,"144,037,100.00",7.456,7.456,7.451
11/06/2004,7.382,-0.074,-1.00%,7.478,7.35,7.478,"1,116,526","8,247,800.00",0.095,0.127,-39.78%,-40.33%,"135,789,300.00",7.382,7.387,7.382
14/06/2004,7.366,-0.016,-0.22%,7.409,7.329,7.409,"1,435,812","10,560,200.00",0.042,0.08,28.60%,28.04%,"125,229,100.00",7.366,7.371,7.366
15/06/2004,7.393,0.027,0.36%,7.398,7.318,7.409,"1,428,371","10,536,500.00",0.005,0.09,-0.52%,-0.22%,"135,765,600.00",7.393,7.393,7.377
16/06/2004,7.377,-0.016,-0.22%,7.345,7.345,7.414,"720,448","5,319,200.00",0.032,0.069,-49.56%,-49.52%,"130,446,400.00",7.377,7.387,7.377
