Date,Open,High,Low,Close,Adj Close,Volume
03/01/2002,9.562132,9.562132,9.163438,9.562132,2.814451,189599
04/01/2002,9.324891,9.654389,9.179906,9.324891,2.744622,248344
07/01/2002,8.936082,9.684044,8.936082,8.936082,2.630183,194961
08/01/2002,8.978914,9.143668,8.962435,8.978914,2.642791,308677
09/01/2002,8.781212,9.054702,8.735079,8.781212,2.5846,299078
10/01/2002,8.754849,8.880063,8.754849,8.754849,2.576841,255730
11/01/2002,8.764734,8.978914,8.758151,8.764734,2.57975,170722
14/01/2002,8.847116,8.889948,8.758151,8.847116,2.603998,100306
15/01/2002,9.028339,9.104128,8.830638,9.028339,2.657337,155782
16/01/2002,8.988799,8.99209,8.827346,8.988799,2.645699,198564
17/01/2002,9.357837,9.357837,8.899833,9.357837,2.754319,260399
18/01/2002,9.22604,9.324891,9.146959,9.22604,2.715526,147117
21/01/2002,9.193093,9.321599,9.143668,9.193093,2.70583,521741
22/01/2002,9.331484,9.341369,9.094242,9.331484,2.746563,151095
23/01/2002,9.548955,9.548955,9.26558,9.548955,2.810572,141883
24/01/2002,9.703814,9.703814,9.407263,9.703814,2.856152,253468
25/01/2002,9.476458,9.670868,9.390794,9.476458,2.789233,128334
28/01/2002,9.515998,9.601672,9.456688,9.515998,2.800872,188327
29/01/2002,9.489645,9.552247,9.473166,9.489645,2.793115,92304
30/01/2002,9.555539,9.572017,9.275465,9.555539,2.81251,131293
31/01/2002,9.769718,9.769718,9.443511,9.769718,2.875549,163255
01/02/2002,9.789488,9.835622,9.624734,9.789488,2.881369,184172
04/02/2002,9.782895,9.782895,9.604964,9.782895,2.879427,82144
05/02/2002,9.555539,9.779603,9.555539,9.555539,2.81251,187210
06/02/2002,9.440219,9.555539,9.357837,9.440219,2.778568,334938
07/02/2002,9.604964,9.604964,9.423741,9.604964,2.827057,132186
08/02/2002,9.469875,9.581902,9.463281,9.469875,2.787296,122253
11/02/2002,9.476458,9.601672,9.476458,9.476458,2.789233,160628
12/02/2002,9.749948,9.749948,9.456688,9.749948,2.869731,249825
13/02/2002,9.710408,9.848799,9.621442,9.710408,2.858093,119854
14/02/2002,9.927879,9.934462,9.690638,9.927879,2.922101,145429
15/02/2002,10.227722,10.273856,9.881745,10.227722,3.010356,285641
18/02/2002,10.148642,10.346343,10.14535,10.148642,2.987078,195592
19/02/2002,9.908109,10.224431,9.908109,9.908109,2.916283,120445
20/02/2002,9.819143,9.964118,9.730178,9.819143,2.890098,119865
21/02/2002,9.934462,9.967419,9.779603,9.934462,2.92404,96989
22/02/2002,9.743355,9.875162,9.743355,9.743355,2.86779,103953
25/02/2002,10.049791,10.049791,9.723585,10.049791,2.957985,111978
26/02/2002,10.329865,10.37929,10.049791,10.329865,3.040419,347015
27/02/2002,10.37929,10.408945,10.155235,10.37929,3.054966,340716
28/02/2002,10.132164,10.362822,10.08604,10.132164,2.982229,161952
01/03/2002,10.132164,10.132164,10.132164,10.132164,2.982229,0
04/03/2002,10.132164,10.132164,10.132164,10.132164,2.982229,0
05/03/2002,10.132164,10.132164,10.132164,10.132164,2.982229,0
06/03/2002,10.132164,10.132164,10.132164,10.132164,2.982229,0
07/03/2002,10.132164,10.132164,10.132164,10.132164,2.982229,0
08/03/2002,10.132164,10.132164,10.132164,10.132164,2.982229,0
11/03/2002,10.132164,10.132164,10.132164,10.132164,2.982229,0
12/03/2002,10.132164,10.132164,10.132164,10.132164,2.982229,0
13/03/2002,10.132164,10.132164,10.132164,10.132164,2.982229,0
14/03/2002,10.132164,10.132164,10.132164,10.132164,2.982229,0
15/03/2002,10.132164,10.132164,10.132164,10.132164,2.982229,0
18/03/2002,10.132164,10.132164,10.132164,10.132164,2.982229,0
19/03/2002,10.132164,10.132164,10.132164,10.132164,2.982229,0
20/03/2002,10.132164,10.132164,10.132164,10.132164,2.982229,0
21/03/2002,10.132164,10.132164,10.132164,10.132164,2.982229,0
