Date,Close,Open,High,Low,Volume,% var.
04/01/2000,"7,950","7,990","8,040","7,620","666,93K","-0,50%"
05/01/2000,"7,690","7,970","7,970","7,610","517,37K","-3,27%"
07/01/2000,"8,280","7,890","8,350","7,690","1,57M","7,67%"
10/01/2000,"8,360","8,360","8,360","8,230","1,24M","0,97%"
11/01/2000,"8,160","8,460","8,460","8,040","1,04M","-2,39%"
12/01/2000,"8,160","8,060","8,200","7,900","1,47M","0,00%"
13/01/2000,"7,770","8,120","8,150","7,740","957,80K","-4,78%"
14/01/2000,"8,100","7,770","8,100","7,770","886,88K","4,25%"
17/01/2000,"8,460","7,950","8,560","7,950","2,43M","4,44%"
18/01/2000,"8,700","8,560","8,730","8,390","2,69M","2,84%"
19/01/2000,"8,510","8,700","8,700","8,390","1,44M","-2,18%"
20/01/2000,"8,080","8,460","8,640","8,050","1,12M","-5,05%"
21/01/2000,"8,000","8,160","8,230","7,910","1,30M","-0,99%"
24/01/2000,"8,040","8,240","8,510","7,960","977,51K","0,50%"
25/01/2000,"8,070","7,950","8,070","7,660","1,88M","0,37%"
26/01/2000,"8,090","8,120","8,170","7,820","1,26M","0,25%"
27/01/2000,"7,780","7,960","8,050","7,730","1,50M","-3,83%"
28/01/2000,"7,710","7,790","7,850","7,610","1,94M","-0,90%"
31/01/2000,"7,750","7,710","7,790","7,610","1,72M","0,52%"
01/02/2000,"7,750","7,770","7,850","7,600","1,09M","0,00%"
02/02/2000,"8,010","7,850","8,040","7,650","1,12M","3,35%"
03/02/2000,"7,910","7,910","7,950","7,750","1,47M","-1,25%"
04/02/2000,"7,880","7,930","7,950","7,800","702,61K","-0,38%"
07/02/2000,"7,870","7,770","7,910","7,770","987,22K","-0,13%"
08/02/2000,"8,110","7,770","8,110","7,770","1,35M","3,05%"
09/02/2000,"8,000","7,930","8,060","7,910","1,43M","-1,36%"
10/02/2000,"7,950","7,790","7,950","7,790","1,29M","-0,63%"
11/02/2000,"7,700","7,860","7,910","7,700","1,16M","-3,14%"
14/02/2000,"7,700","7,820","7,820","7,550","663,41K","0,00%"
15/02/2000,"8,060","7,560","8,100","7,560","927,58K","4,68%"
16/02/2000,"7,820","8,060","8,100","7,690","939,63K","-2,98%"
17/02/2000,"7,720","7,920","7,920","7,710","881,91K","-1,28%"
18/02/2000,"7,340","7,850","7,850","7,070","2,16M","-4,92%"
21/02/2000,"7,100","7,400","7,430","7,050","1,12M","-3,27%"
22/02/2000,"7,150","7,150","7,290","7,110","929,16K","0,70%"
23/02/2000,"7,780","7,190","7,790","7,110","2,39M","8,81%"
24/02/2000,"7,480","7,830","7,880","7,450","1,09M","-3,86%"
25/02/2000,"7,390","7,550","7,680","7,280","1,36M","-1,20%"
28/02/2000,"7,450","7,410","7,500","7,350","589,61K","0,81%"
29/02/2000,"7,530","7,630","7,650","7,450","1,04M","1,07%"
01/03/2000,"7,230","7,580","7,750","7,120","2,94M","-3,98%"
02/03/2000,"7,470","7,290","7,610","7,250","1,81M","3,32%"
03/03/2000,"7,750","7,550","7,880","7,460","2,52M","3,75%"
06/03/2000,"8,160","8,040","8,340","7,770","3,06M","5,29%"
07/03/2000,"8,390","8,160","8,640","7,990","2,01M","2,82%"
08/03/2000,"8,540","8,090","8,660","8,060","1,69M","1,79%"
09/03/2000,"8,210","8,480","8,540","8,100","825,64K","-3,86%"
10/03/2000,"7,900","8,260","8,430","7,890","681,01K","-3,78%"
13/03/2000,"7,900","7,950","8,100","7,710","764,86K","0,00%"
14/03/2000,"8,360","7,910","8,590","7,830","2,33M","5,82%"
15/03/2000,"8,160","8,350","8,370","7,960","679,81K","-2,39%"
16/03/2000,"8,620","8,160","8,640","8,160","980,95K","5,64%"
17/03/2000,"9,070","8,510","9,260","8,510","1,20M","5,22%"
20/03/2000,"8,860","8,860","9,060","8,060","2,25M","-2,32%"
21/03/2000,"8,780","8,750","8,940","8,560","1,10M","-0,90%"
22/03/2000,"9,120","8,780","9,180","8,780","1,01M","3,87%"
23/03/2000,"8,880","8,930","9,460","8,660","1,24M","-2,63%"
24/03/2000,"9,020","9,160","9,160","8,890","906,31K","1,58%"
27/03/2000,"8,870","8,800","9,050","8,800","411,10K","-1,66%"
28/03/2000,"8,500","8,990","9,010","8,460","1,09M","-4,17%"
29/03/2000,"8,520","8,700","8,700","8,460","871,24K","0,24%"
30/03/2000,"8,800","8,530","8,860","8,460","743,36K","3,29%"
31/03/2000,"8,320","8,500","8,860","8,060","1,08M","-5,45%"
03/04/2000,"8,830","8,560","8,840","8,320","7,91M","6,13%"
04/04/2000,"8,720","8,660","8,920","8,560","7,52M","-1,25%"
05/04/2000,"8,650","8,820","8,820","8,270","376,92K","-0,80%"
06/04/2000,"8,620","8,560","8,730","8,460","801,20K","-0,35%"
07/04/2000,"8,640","8,610","8,700","8,220","525,62K","0,23%"
10/04/2000,"8,660","8,680","8,700","8,320","910,15K","0,23%"
11/04/2000,"8,360","8,660","8,980","8,360","926,00K","-3,46%"
12/04/2000,"8,470","8,680","8,680","8,330","373,84K","1,32%"
13/04/2000,"8,830","8,360","8,840","8,360","607,47K","4,25%"
14/04/2000,"8,820","8,660","8,900","8,540","588,97K","-0,11%"
17/04/2000,"9,060","8,260","9,060","8,260","906,69K","2,72%"
18/04/2000,"9,040","8,860","9,050","8,620","815,50K","-0,22%"
19/04/2000,"8,800","9,060","9,060","8,500","946,02K","-2,65%"
20/04/2000,"8,800","8,840","8,910","8,540","779,61K","0,00%"
25/04/2000,"8,630","8,760","8,960","8,540","572,62K","-1,93%"
26/04/2000,"8,680","8,600","8,820","8,570","610,07K","0,58%"
27/04/2000,"8,740","8,850","8,900","8,670","1,27M","0,69%"
28/04/2000,"8,820","8,760","9,150","8,580","1,32M","0,92%"
02/05/2000,"8,760","9,090","9,090","8,740","486,80K","-0,68%"
03/05/2000,"8,690","8,760","8,970","8,560","419,85K","-0,80%"
04/05/2000,"8,820","8,740","8,860","8,630","1,17M","1,50%"
05/05/2000,"8,720","8,820","8,840","8,680","487,13K","-1,13%"
08/05/2000,"8,760","8,820","8,830","8,740","267,73K","0,46%"
09/05/2000,"8,860","8,720","8,960","8,690","946,40K","1,14%"
10/05/2000,"8,980","8,850","9,020","8,700","940,56K","1,35%"
11/05/2000,"9,260","8,960","9,420","8,860","1,50M","3,12%"
12/05/2000,"9,010","9,260","9,360","8,910","984,19K","-2,70%"
15/05/2000,"8,950","9,090","9,090","8,830","892,76K","-0,67%"
16/05/2000,"9,070","8,900","9,110","8,900","768,49K","1,34%"
17/05/2000,"8,960","9,040","9,110","8,960","1,55M","-1,21%"
18/05/2000,"8,960","9,120","9,160","8,900","2,23M","0,00%"
19/05/2000,"8,700","8,960","9,050","8,460","1,52M","-2,90%"
22/05/2000,"8,260","8,740","8,740","8,140","751,46K","-5,06%"
23/05/2000,"8,400","8,360","8,610","8,260","775,49K","1,69%"
24/05/2000,"7,650","8,400","8,400","7,570","2,71M","-8,93%"
25/05/2000,"7,760","7,650","7,870","7,600","1,73M","1,44%"
26/05/2000,"7,610","7,730","7,750","7,590","329,94K","-1,93%"
29/05/2000,"7,250","7,750","7,750","7,110","1,24M","-4,73%"
30/05/2000,"7,450","7,370","7,630","7,270","2,01M","2,76%"
31/05/2000,"7,330","7,580","7,610","6,940","1,73M","-1,61%"
01/06/2000,"7,750","7,430","7,850","7,350","1,34M","5,73%"
02/06/2000,"7,770","8,060","8,060","7,700","1,02M","0,26%"
05/06/2000,"7,910","8,060","8,060","7,900","758,52K","1,80%"
06/06/2000,"7,750","8,010","8,010","7,610","524,74K","-2,02%"
07/06/2000,"7,450","7,780","7,780","7,450","858,19K","-3,87%"
08/06/2000,"7,450","7,470","7,750","7,400","900,67K","0,00%"
09/06/2000,"7,210","7,370","7,510","7,140","1,21M","-3,22%"
12/06/2000,"7,050","7,250","7,300","7,050","1,03M","-2,22%"
13/06/2000,"7,170","7,130","7,380","7,080","723,73K","1,70%"
14/06/2000,"7,200","7,230","7,390","7,190","724,91K","0,42%"
15/06/2000,"7,080","7,190","7,280","7,050","629,57K","-1,67%"
16/06/2000,"7,050","7,150","7,210","6,980","2,04M","-0,42%"
19/06/2000,"6,850","7,090","7,120","6,850","582,72K","-2,84%"
20/06/2000,"6,790","6,850","7,030","6,750","822,42K","-0,88%"
21/06/2000,"6,480","6,850","6,890","6,480","1,30M","-4,57%"
22/06/2000,"6,270","6,550","6,600","6,270","782,41K","-3,24%"
23/06/2000,"6,120","6,340","6,350","6,080","1,76M","-2,39%"
26/06/2000,"6,450","6,290","6,480","6,160","1,68M","5,39%"
27/06/2000,"6,440","6,550","6,580","6,280","829,08K","-0,16%"
28/06/2000,"6,350","6,490","6,490","6,280","577,69K","-1,40%"
29/06/2000,"6,140","6,430","6,430","6,090","519,91K","-3,31%"
30/06/2000,"6,100","6,140","6,140","6,050","719,01K","-0,65%"
03/07/2000,"6,100","6,180","6,180","6,040","835,20K","0,00%"
04/07/2000,"6,070","6,060","6,230","6,060","741,15K","-0,49%"
05/07/2000,"6,410","6,100","6,410","6,100","2,91M","5,60%"
06/07/2000,"6,240","6,440","6,440","6,200","2,19M","-2,65%"
07/07/2000,"6,390","6,390","6,390","6,200","1,24M","2,40%"
10/07/2000,"6,180","6,410","6,410","6,150","1,09M","-3,29%"
11/07/2000,"6,750","6,230","6,820","6,230","2,94M","9,22%"
12/07/2000,"6,750","6,800","6,800","6,610","2,25M","0,00%"
13/07/2000,"6,610","6,770","6,880","6,610","1,29M","-2,07%"
14/07/2000,"6,850","6,670","6,850","6,660","868,85K","3,63%"
17/07/2000,"6,870","6,850","6,950","6,800","2,52M","0,29%"
18/07/2000,"6,700","6,950","6,950","6,670","1,41M","-2,47%"
19/07/2000,"6,670","6,710","6,900","6,670","1,45M","-0,45%"
20/07/2000,"6,790","6,840","6,840","6,680","817,67K","1,80%"
21/07/2000,"6,560","6,850","6,930","6,560","938,44K","-3,39%"
24/07/2000,"6,570","6,620","6,810","6,570","768,02K","0,15%"
25/07/2000,"6,640","6,590","6,700","6,590","1,75M","1,07%"
26/07/2000,"6,600","6,680","6,680","6,600","908,09K","-0,60%"
27/07/2000,"6,700","6,610","6,780","6,610","363,52K","1,52%"
28/07/2000,"6,710","6,690","6,790","6,690","924,92K","0,15%"
31/07/2000,"6,520","6,810","6,810","6,480","493,40K","-2,83%"
01/08/2000,"6,380","6,520","6,690","6,360","273,05K","-2,15%"
02/08/2000,"6,610","6,470","6,640","6,400","1,15M","3,61%"
03/08/2000,"6,510","6,640","6,650","6,510","772,41K","-1,51%"
04/08/2000,"6,630","6,480","6,670","6,480","407,54K","1,84%"
07/08/2000,"6,620","6,680","6,680","6,590","209,79K","-0,15%"
08/08/2000,"6,710","6,630","6,780","6,510","1,17M","1,36%"
09/08/2000,"6,780","6,670","6,860","6,670","976,31K","1,04%"
10/08/2000,"6,790","6,840","6,970","6,750","402,85K","0,15%"
11/08/2000,"6,810","6,820","6,820","6,680","539,54K","0,29%"
14/08/2000,"6,800","6,850","6,860","6,800","153,15K","-0,15%"
15/08/2000,"6,820","6,820","6,820","6,800","123,94K","0,29%"
16/08/2000,"6,930","6,840","6,990","6,830","895,32K","1,61%"
17/08/2000,"6,840","6,940","6,950","6,770","348,81K","-1,30%"
