Date,Open,High,Low,Close,Adj Close,Volume
30/04/2010,12,12.68,11.75,12,9.731319,6160900
03/05/2010,11.67,12,11.5,11.8,9.569132,1819900
04/05/2010,11.8,11.86,11.225,11.63,9.431271,13126400
05/05/2010,11.5,11.6,11.36,11.45,9.285299,3478200
06/05/2010,11.49,12,11.38,11.58,9.390724,4026000
07/05/2010,11.37,11.4,10.75,10.75,8.71764,5873100
10/05/2010,11.52,11.87,11.4,11.6,9.406941,2003800
11/05/2010,11.61,11.61,11.04,11.5,9.325847,1549200
12/05/2010,11.49,11.98,11.27,11.75,9.528584,1903300
13/05/2010,11.8,12.475,11.66,12.4,10.055695,416600
14/05/2010,12,12.45,12,12.2,9.893508,2074100
17/05/2010,12.05,12.5,12,12.45,10.096243,1514700
18/05/2010,12.5,13.745,12.46,12.74,10.331418,782600
19/05/2010,12.77,13,12.4,12.4,10.055695,1056000
20/05/2010,12.4,12.7,11.53,11.95,9.690774,577000
21/05/2010,11.895,12.34,11.26,12.16,9.861069,5782100
24/05/2010,12.345,12.39,12.06,12.39,10.047587,185200
25/05/2010,12.26,12.26,11.81,11.9,9.650225,809600
26/05/2010,11.81,12.725,11.81,12.49,10.12868,4495800
27/05/2010,12.5,12.6,12.01,12.52,10.153009,1057200
28/05/2010,12.665,12.665,12.3,12.36,10.023259,365900
31/05/2010,12.36,12.36,12.205,12.35,10.015149,389300
01/06/2010,12.35,12.75,12.2,12.6,10.217884,984800
02/06/2010,12.15,12.72,12.15,12.61,10.225992,849400
03/06/2010,12.615,12.84,12.615,12.77,10.355747,331400
04/06/2010,12.82,12.82,12.45,12.785,10.367908,108100
07/06/2010,12.65,12.8,12.5,12.62,10.234105,262500
08/06/2010,13.07,13.43,12.7,12.7,10.298979,511200
09/06/2010,12.75,12.85,12.335,12.47,10.112463,499200
10/06/2010,12.35,12.55,12.35,12.495,10.132734,1103800
11/06/2010,12.6,12.965,12.53,12.8,10.380074,1835435
14/06/2010,12.995,12.995,12.7,12.88,10.44495,857309
15/06/2010,12.72,13.05,12.61,12.9,10.461169,573304
16/06/2010,12.99,12.99,12.6,12.8,10.380074,958800
17/06/2010,12.675,12.95,12.31,12.4,10.055695,912500
18/06/2010,12.39,12.545,12.12,12.415,10.067862,1065071
21/06/2010,12.5,12.75,12.35,12.73,10.323307,410300
22/06/2010,12.62,12.89,12.29,12.7,10.298979,2851402
23/06/2010,12.68,13,12.54,12.865,10.432785,380637
24/06/2010,13,13,12.6,12.77,10.355747,424979
25/06/2010,12.71,12.89,12.71,12.84,10.41251,198200
28/06/2010,12.95,13.25,12.755,13.2,10.704452,429800
29/06/2010,13.05,13.27,12.55,12.77,10.355747,892600
30/06/2010,12.905,13.07,12.815,13,10.542263,1200100
01/07/2010,12.81,12.95,12.52,12.66,10.266539,265000
02/07/2010,12.75,12.76,12.24,12.29,9.966493,826428
05/07/2010,12.155,12.295,11.94,12,9.731319,929800
06/07/2010,12.12,12.48,12,12.3,9.974602,701100
07/07/2010,12.25,12.47,12.25,12.375,10.035423,657000
08/07/2010,12.42,12.42,12.25,12.31,9.982711,427100
09/07/2010,12.43,12.66,12.33,12.48,10.120571,642100
12/07/2010,12.495,12.705,12.38,12.505,10.140844,263800
13/07/2010,12.48,12.84,12.32,12.84,10.41251,388300
14/07/2010,12.915,13,12.7,13,10.542263,145600
15/07/2010,12.95,13.15,12.64,12.745,10.335471,276400
16/07/2010,12.685,12.93,12.545,12.65,10.258432,647500
19/07/2010,12.675,12.79,12.38,12.64,10.250323,614200
20/07/2010,12.8,12.8,12.515,12.8,10.380074,103100
21/07/2010,12.82,13,12.7,12.93,10.485497,100400
22/07/2010,12.915,13.5,12.705,13.21,10.712561,669900
23/07/2010,13.18,13.305,13.13,13.22,10.720671,99400
26/07/2010,13.28,13.75,13,13.43,10.890967,456100
