Date;Close;Open;High;Low;Vol.;% var.
03/01/2000;11,489;11,546;11,602;11,465;9,78M;0,28%
04/01/2000;11,189;11,343;11,416;11,149;10,11M;-2,61%
05/01/2000;10,938;11,084;11,141;10,889;14,42M;-2,24%
07/01/2000;11,076;11,173;11,173;10,962;73,83M;1,26%
10/01/2000;10,897;11,197;11,197;10,881;69,65M;-1,62%
11/01/2000;10,679;10,857;10,873;10,573;8,02M;-2,00%
12/01/2000;10,557;10,663;10,663;10,452;9,80M;-1,14%
13/01/2000;10,298;10,533;10,573;10,209;11,11M;-2,45%
14/01/2000;10,500;10,371;10,525;10,314;10,12M;1,96%
17/01/2000;10,403;10,573;10,573;10,379;8,09M;-0,92%
18/01/2000;10,184;10,379;10,395;10,071;11,50M;-2,11%
19/01/2000;10,168;9,998;10,168;9,966;15,45M;-0,16%
20/01/2000;10,152;10,209;10,257;10,055;11,22M;-0,16%
21/01/2000;9,941;10,071;10,128;9,909;8,05M;-2,08%
24/01/2000;9,990;10,160;10,160;9,966;6,95M;0,49%
25/01/2000;10,209;9,982;10,338;9,950;11,18M;2,19%
26/01/2000;10,525;10,371;10,573;10,249;10,82M;3,10%
27/01/2000;10,938;10,638;11,060;10,581;16,20M;3,92%
28/01/2000;10,897;11,108;11,108;10,614;19,11M;-0,37%
31/01/2000;10,735;10,906;10,946;10,614;11,70M;-1,49%
01/02/2000;10,881;10,881;10,970;10,703;11,30M;1,36%
02/02/2000;10,849;10,906;10,906;10,687;9,07M;-0,29%
03/02/2000;10,938;10,873;11,060;10,703;9,21M;0,82%
04/02/2000;10,776;11,060;11,060;10,735;12,47M;-1,48%
07/02/2000;10,573;10,800;10,841;10,549;9,65M;-1,88%
08/02/2000;10,978;10,565;10,978;10,444;16,26M;3,83%
09/02/2000;10,711;11,019;11,019;10,671;10,76M;-2,43%
10/02/2000;10,549;10,614;10,695;10,533;9,97M;-1,51%
11/02/2000;11,359;10,565;11,489;10,371;28,86M;7,68%
14/02/2000;12,680;12,153;13,644;11,829;70,73M;11,63%
15/02/2000;12,356;12,883;12,883;12,307;27,38M;-2,56%
16/02/2000;12,404;12,396;12,599;12,283;22,97M;0,39%
17/02/2000;12,404;12,291;12,518;12,291;11,88M;0,00%
18/02/2000;12,421;12,364;12,477;12,251;16,33M;0,14%
21/02/2000;12,348;12,153;12,396;12,153;12,72M;-0,59%
22/02/2000;12,178;12,153;12,315;12,153;17,34M;-1,38%
23/02/2000;12,510;12,186;12,542;12,178;17,01M;2,73%
24/02/2000;12,696;12,558;12,899;12,477;20,52M;1,49%
25/02/2000;12,720;12,720;12,866;12,672;12,29M;0,19%
28/02/2000;12,437;12,526;12,558;12,299;8,84M;-2,22%
29/02/2000;12,234;12,502;12,534;12,234;10,08M;-1,63%
01/03/2000;12,356;12,275;12,388;12,161;11,04M;1,00%
02/03/2000;12,307;12,356;12,380;12,072;9,01M;-0,40%
03/03/2000;12,356;12,356;12,356;12,121;9,20M;0,40%
06/03/2000;12,388;12,558;12,720;12,194;13,59M;0,26%
07/03/2000;12,380;12,332;12,494;12,242;11,59M;-0,06%
08/03/2000;12,477;12,307;12,518;12,202;10,19M;0,78%
09/03/2000;12,421;12,477;12,477;12,259;10,85M;-0,45%
10/03/2000;12,178;12,421;12,510;12,097;13,22M;-1,96%
13/03/2000;11,951;12,323;12,332;11,813;11,38M;-1,86%
14/03/2000;11,975;12,032;12,032;11,764;7,90M;0,20%
15/03/2000;11,773;11,951;11,951;11,773;6,48M;-1,69%
16/03/2000;12,372;11,959;12,396;11,862;14,45M;5,09%
17/03/2000;12,445;12,477;12,550;12,242;10,87M;0,59%
20/03/2000;12,348;12,323;12,404;12,210;19,96M;-0,78%
21/03/2000;12,486;12,299;12,510;12,202;8,57M;1,12%
22/03/2000;12,542;12,486;12,583;12,356;13,76M;0,45%
23/03/2000;12,453;12,599;12,599;12,275;6,67M;-0,71%
24/03/2000;12,429;12,453;12,502;12,307;4,56M;-0,19%
27/03/2000;12,469;12,388;12,526;12,234;4,96M;0,32%
28/03/2000;12,486;12,558;12,583;12,421;12,34M;0,14%
29/03/2000;12,275;12,477;12,526;12,137;11,82M;-1,69%
30/03/2000;12,145;12,170;12,275;12,064;11,12M;-1,06%
31/03/2000;12,445;12,210;12,445;12,040;21,77M;2,47%
03/04/2000;12,477;12,251;12,494;12,251;23,03M;0,26%
04/04/2000;12,785;12,477;12,810;12,437;17,24M;2,47%
05/04/2000;12,680;12,567;12,834;12,332;13,48M;-0,82%
06/04/2000;12,761;12,704;12,899;12,502;12,84M;0,64%
07/04/2000;12,866;12,729;12,955;12,656;11,91M;0,82%
10/04/2000;12,883;12,826;12,931;12,729;12,25M;0,13%
11/04/2000;12,801;12,664;12,931;12,664;9,29M;-0,64%
12/04/2000;12,639;12,842;12,964;12,550;14,61M;-1,27%
13/04/2000;12,785;12,542;12,785;12,477;9,84M;1,16%
14/04/2000;12,510;12,688;12,842;12,396;11,84M;-2,15%
17/04/2000;12,153;11,951;12,307;11,894;18,91M;-2,85%
18/04/2000;12,161;12,315;12,364;12,080;9,10M;0,07%
19/04/2000;12,234;12,218;12,340;11,999;12,10M;0,60%
20/04/2000;12,396;12,267;12,469;12,153;7,36M;1,32%
25/04/2000;12,113;12,153;12,234;12,088;11,28M;-2,28%
26/04/2000;12,088;12,234;12,234;12,032;9,02M;-0,21%
27/04/2000;12,007;12,121;12,137;11,926;14,40M;-0,67%
28/04/2000;12,153;12,129;12,153;12,064;11,26M;1,22%
02/05/2000;12,251;12,153;12,251;11,951;6,85M;0,81%
03/05/2000;12,121;12,153;12,234;12,072;6,77M;-1,06%
04/05/2000;11,878;12,072;12,113;11,805;12,46M;-2,00%
05/05/2000;11,797;11,870;11,943;11,708;8,45M;-0,68%
08/05/2000;11,578;11,773;11,845;11,546;9,24M;-1,86%
09/05/2000;11,489;11,546;11,683;11,440;11,57M;-0,77%
10/05/2000;11,521;11,529;11,724;11,489;10,97M;0,28%
11/05/2000;11,643;11,570;11,740;11,432;7,78M;1,06%
12/05/2000;11,578;11,740;11,740;11,473;6,09M;-0,56%
15/05/2000;11,521;11,602;11,691;11,473;5,45M;-0,49%
16/05/2000;11,602;11,505;11,667;11,505;8,55M;0,70%
17/05/2000;11,708;11,627;11,878;11,521;19,48M;0,91%
18/05/2000;11,748;11,700;11,910;11,627;11,99M;0,34%
19/05/2000;11,521;11,675;11,700;11,489;10,39M;-1,93%
22/05/2000;11,213;11,521;11,546;11,213;9,18M;-2,67%
23/05/2000;11,489;11,213;11,546;11,213;25,80M;2,46%
24/05/2000;11,473;11,230;11,481;11,222;29,56M;-0,14%
