Date,Close,Open,High,Low,Vol.,Change %
10/01/2000,4.079,4.079,4.123,3.982,16.90M,1.59%
11/01/2000,4.396,4.131,4.47,4.081,4.41M,7.77%
12/01/2000,4.513,4.366,4.722,4.32,4.00M,2.66%
13/01/2000,5.121,4.583,5.19,4.522,7.21M,13.47%
14/01/2000,5.381,5.121,5.642,5.034,4.35M,5.08%
17/01/2000,5.854,5.459,5.967,5.459,6.13M,8.79%
18/01/2000,6.405,6.076,6.731,5.898,10.27M,9.41%
19/01/2000,5.659,6.405,6.405,5.468,5.78M,-11.65%
20/01/2000,5.55,5.893,5.989,5.164,7.95M,-1.93%
21/01/2000,5.824,5.642,5.902,5.186,8.77M,4.94%
24/01/2000,5.833,5.902,5.963,5.772,2.39M,0.15%
25/01/2000,5.819,5.772,5.906,5.702,3.28M,-0.24%
26/01/2000,5.98,5.937,6.084,5.846,3.68M,2.77%
27/01/2000,5.859,6.063,6.097,5.841,2.81M,-2.02%
28/01/2000,5.885,6.076,6.076,5.728,3.04M,0.44%
31/01/2000,5.468,5.789,5.88,5.468,2.41M,-7.09%
01/02/2000,5.373,5.468,5.598,5.29,2.94M,-1.74%
02/02/2000,5.598,5.403,5.611,5.312,2.57M,4.19%
03/02/2000,5.898,5.642,5.924,5.611,3.34M,5.36%
04/02/2000,5.78,5.898,5.911,5.611,2.50M,-2.00%
07/02/2000,5.52,5.789,5.872,5.52,2.15M,-4.50%
08/02/2000,5.889,5.555,5.898,5.511,3.19M,6.68%
09/02/2000,5.963,5.902,6.045,5.819,2.66M,1.26%
10/02/2000,5.945,5.902,5.963,5.867,1.21M,-0.30%
11/02/2000,5.989,5.963,6.444,5.919,6.28M,0.74%
14/02/2000,5.728,5.854,5.945,5.555,5.33M,-4.36%
15/02/2000,5.529,5.828,5.828,5.52,1.41M,-3.47%
16/02/2000,5.381,5.598,5.702,5.338,3.43M,-2.68%
17/02/2000,5.629,5.425,5.685,5.399,1.77M,4.61%
18/02/2000,5.772,5.685,5.806,5.568,2.45M,2.54%
21/02/2000,5.828,5.815,5.837,5.576,1.92M,0.97%
22/02/2000,5.889,5.837,5.945,5.741,3.89M,1.05%
23/02/2000,6.145,5.928,6.158,5.819,2.44M,4.35%
24/02/2000,6.028,6.154,6.171,5.976,3.65M,-1.90%
