Date,Open,High,Low,Close,Adj Close,Volume
10/10/2007,5.44,5.44,5.23,5.25,2.102326,101556900
11/10/2007,5.28,5.32,5.25,5.29,2.118344,22776660
12/10/2007,5.33,5.33,5.27,5.31,2.126352,8629854
15/10/2007,5.34,5.36,5.28,5.28,2.11434,7889485
16/10/2007,5.29,5.29,5.23,5.25,2.102326,18485100
17/10/2007,5.29,5.34,5.24,5.3,2.122348,10988171
18/10/2007,5.32,5.35,5.3,5.33,2.134361,11874920
19/10/2007,5.34,5.35,5.31,5.35,2.14237,7769845
22/10/2007,5.27,5.3,5.23,5.26,2.106331,8510885
23/10/2007,5.27,5.3,5.26,5.26,2.106331,7050099
24/10/2007,5.27,5.28,5.22,5.22,2.090312,3720659
25/10/2007,5.27,5.27,5.13,5.24,2.098321,14617650
26/10/2007,5.24,5.25,5.2,5.21,2.086308,5057319
29/10/2007,5.24,5.25,5.19,5.21,2.086308,5833010
30/10/2007,5.2,5.25,5.19,5.25,2.102326,5404163
31/10/2007,5.23,5.24,5.19,5.24,2.098321,5951208
01/11/2007,5.24,5.24,5.19,5.19,2.0783,1618646
02/11/2007,5.17,5.25,5.15,5.25,2.102326,4526629
05/11/2007,5.21,5.24,5.19,5.21,2.086308,2999341
06/11/2007,5.22,5.25,5.2,5.25,2.102326,3816087
07/11/2007,5.22,5.22,5.13,5.16,2.066286,6101547
08/11/2007,5.16,5.17,5.09,5.16,2.066286,3053299
09/11/2007,5.18,5.19,5.08,5.11,2.046264,3336065
12/11/2007,5.1,5.15,5.09,5.09,2.038255,2828079
13/11/2007,5.1,5.15,5.05,5.15,2.062282,5122588
14/11/2007,5.17,5.17,5.11,5.13,2.054273,3275957
15/11/2007,5.13,5.14,5.05,5.05,2.022238,3684040
16/11/2007,5.07,5.09,5.02,5.07,2.030247,4147592
19/11/2007,5.13,5.21,5.04,5.07,2.030247,7060427
20/11/2007,5.12,5.14,5.05,5.07,2.030247,7218213
21/11/2007,5.06,5.08,5,5,2.002215,5021916
22/11/2007,5.03,5.07,4.97,5,2.002215,3735974
23/11/2007,5.02,5.04,4.95,4.98,1.994206,3718075
26/11/2007,4.98,5.05,4.98,5.05,2.022238,1814497
27/11/2007,5,5.08,5,5.05,2.022238,1768452
28/11/2007,5.04,5.22,5.03,5.21,2.086308,3290941
29/11/2007,5.19,5.27,5.11,5.25,2.102326,4238012
30/11/2007,5.25,5.27,5.2,5.25,2.102326,2304851
03/12/2007,5.21,5.25,5.19,5.25,2.102326,1256809
04/12/2007,5.23,5.24,5.16,5.22,2.090312,3534695
05/12/2007,5.21,5.24,5.2,5.24,2.098321,1004309
06/12/2007,5.24,5.26,5.23,5.24,2.098321,1397909
07/12/2007,5.25,5.25,5.16,5.16,2.066286,3136082
10/12/2007,5.19,5.23,5.16,5.21,2.086308,1973831
11/12/2007,5.23,5.27,5.21,5.27,2.110335,3935941
12/12/2007,5.22,5.23,5.15,5.17,2.070291,3351799
13/12/2007,5.17,5.21,5.1,5.1,2.042259,1643083
14/12/2007,5.12,5.21,5.11,5.2,2.082304,684914
17/12/2007,5.14,5.2,5.12,5.2,2.082304,1008494
18/12/2007,5.16,5.19,5.12,5.16,2.066286,1685267
19/12/2007,5.17,5.18,5.09,5.16,2.066286,3818130
20/12/2007,5.15,5.17,5.11,5.15,2.062282,1952935
21/12/2007,5.14,5.19,5.14,5.19,2.0783,5344368
24/12/2007,5.19,5.19,5.19,5.19,2.0783,0
27/12/2007,5.12,5.18,5.11,5.16,2.066286,1796694
28/12/2007,5.15,5.18,5.12,5.17,2.070291,3067100
02/01/2008,5.16,5.21,5.16,5.2,2.082304,3370267
03/01/2008,5.15,5.19,5.02,5.1,2.042259,2046484
04/01/2008,5.06,5.14,5.06,5.1,2.042259,3184218
07/01/2008,5.07,5.09,4.95,4.95,1.982193,4010529
08/01/2008,4.98,5.04,4.96,5,2.002215,7756402
09/01/2008,5.01,5.01,4.95,4.99,1.998211,6226698
10/01/2008,5.01,5.02,4.95,4.96,1.986197,4050584
11/01/2008,4.99,4.99,4.8,4.89,1.958167,39033220
14/01/2008,4.7,4.92,4.66,4.87,1.950158,4451247
15/01/2008,4.85,4.89,4.66,4.74,1.8981,11503720
16/01/2008,4.61,4.69,4.52,4.58,1.834029,3668474
17/01/2008,4.58,4.68,4.55,4.59,1.850153,3235808
18/01/2008,4.59,4.64,4.46,4.56,1.83806,41150220
21/01/2008,4.5,4.55,4.03,4.25,1.713104,6443388
22/01/2008,4.25,4.34,3.73,4.29,1.729227,7741559
23/01/2008,4.28,4.37,4.03,4.06,1.636518,25047110
24/01/2008,4.25,4.25,4.15,4.2,1.69295,7287356
25/01/2008,4.2,4.48,4.2,4.32,1.74132,6487475
28/01/2008,4.2,4.41,4.1,4.4,1.773567,2757399
29/01/2008,4.49,4.55,4.42,4.51,1.817906,3759791
30/01/2008,4.54,4.58,4.37,4.43,1.785659,8097048
31/01/2008,4.49,4.49,4.33,4.41,1.777597,2897744
