Date,Open,High,Low,Close,Adj Close,Volume
04/01/2000,18.879999,18.879999,18.200001,18.5,-4.190341,4048543
05/01/2000,18.200001,18.68,18.129999,18.639999,-4.222053,4688995
06/01/2000,18.639999,18.639999,18.639999,18.639999,-4.222053,0
07/01/2000,18.9,19.35,18.860001,19.309999,-4.37381,4027102
10/01/2000,19.549999,19.549999,19.059999,19.309999,-4.37381,2533020
11/01/2000,19.379999,19.4,19.08,19.4,-4.394195,3859573
12/01/2000,19.4,19.4,19.15,19.32,-4.376075,4146516
13/01/2000,19.389999,19.389999,18.75,19.030001,-4.310388,3442513
14/01/2000,18.969999,19.379999,18.700001,18.74,-4.244702,4674502
17/01/2000,18.65,18.74,18.1,18.25,-4.133714,3756182
18/01/2000,18.15,18.23,17.799999,18,-4.077088,3763779
19/01/2000,17.799999,18.049999,17.700001,18.049999,-4.088414,3046315
20/01/2000,18.07,18.75,18.07,18.75,-4.246967,4169688
21/01/2000,18.799999,19.549999,18.76,19.209999,-4.35116,7178988
24/01/2000,19.5,19.68,18.83,18.93,-4.287737,4062289
25/01/2000,18.83,18.92,18.530001,18.66,-4.226581,4089443
26/01/2000,18.66,19.23,18.65,19.040001,-4.312654,2978839
27/01/2000,19.09,19.49,19.059999,19.4,-4.394195,4886541
28/01/2000,19.719999,19.74,18.4,18.690001,-4.233377,6141874
31/01/2000,18.549999,19.1,18.530001,18.91,-4.283208,4066169
01/02/2000,19.1,19.15,18.549999,18.610001,-4.215257,4176367
02/02/2000,18.790001,19.200001,18.32,19.15,-4.337569,4920043
03/02/2000,19.15,19.709999,18.9,19.549999,-4.428171,5761768
04/02/2000,19.74,19.74,19.299999,19.299999,-4.371544,3551328
07/02/2000,19.1,19.33,19.040001,19.120001,-4.330774,2594220
08/02/2000,19,19.540001,18.860001,19.41,-4.39646,5134419
09/02/2000,19.6,19.73,18.809999,19.200001,-4.348895,4888518
10/02/2000,18.860001,19.4,18.860001,19.34,-4.380605,2962044
11/02/2000,19,19.17,18.65,19,-4.303593,4836806
14/02/2000,18.610001,18.780001,18.299999,18.58,-4.20846,5023575
15/02/2000,18.549999,18.74,18.360001,18.700001,-4.235643,3166774
16/02/2000,18.75,19.200001,18.49,19.110001,-4.328509,5100939
17/02/2000,18.950001,19.4,18.9,19.120001,-4.330774,4255828
18/02/2000,19.01,19.25,18.93,19.16,-4.339833,4207234
21/02/2000,19.389999,19.799999,19.309999,19.780001,-4.480268,7974487
22/02/2000,19.75,20.74,19.620001,20.57,-4.659205,12956830
23/02/2000,20.700001,21.719999,20.299999,21.549999,-4.88118,14961530
24/02/2000,21.51,21.85,20.5,20.9,-4.733953,8063805
25/02/2000,21.200001,22.1,21,22.049999,-4.994432,10718010
28/02/2000,22,22.639999,21.440001,21.559999,-4.883445,5432976
29/02/2000,21.629999,22.01,21.58,21.969999,-4.976314,6421852
01/03/2000,21.969999,22.1,21.58,22,-4.983109,6477096
02/03/2000,22,22.200001,21.049999,22,-4.983109,7375540
03/03/2000,21.9,22.32,21.5,22.09,-5.003494,7164768
06/03/2000,22,22.32,21.700001,22.17,-5.021614,5075732
07/03/2000,22.01,22.049999,21.51,21.709999,-4.917421,4741267
08/03/2000,21.379999,21.5,21.059999,21.34,-4.833614,4300248
09/03/2000,21.58,21.610001,21.26,21.309999,-4.82682,3972585
10/03/2000,21.48,21.48,21.07,21.23,-4.808699,6086556
13/03/2000,21.23,21.23,21.23,21.23,-4.808699,0
14/03/2000,22.299999,23.280001,22.26,23.200001,-5.254914,17103670
15/03/2000,23,23.5,22.65,23.209999,-5.257181,7013428
16/03/2000,23.5,24,23.35,23.98,-5.431588,10478600
17/03/2000,24,24.25,23.49,23.940001,-5.422526,13513550
20/03/2000,23.610001,23.98,23.360001,23.98,-5.431588,5916093
21/03/2000,23.6,24.450001,23.51,24.1,-5.458767,6092077
22/03/2000,24.02,24.389999,23.620001,24.1,-5.458767,5227938
23/03/2000,24.1,24.49,23.5,23.700001,-5.368166,4159897
24/03/2000,23.799999,23.950001,23.370001,23.629999,-5.352312,4528915
27/03/2000,23.35,24.139999,23.35,24.120001,-5.463297,3801430
28/03/2000,24,24.030001,23.549999,23.73,-5.374962,2840636
29/03/2000,23.73,24.049999,23.16,23.42,-5.304746,3846736
30/03/2000,23.1,24,23.1,23.84,-5.399878,5321543
31/03/2000,23.700001,24.110001,23.6,23.969999,-5.429322,3915847
03/04/2000,24,24.370001,23.92,24.370001,-5.519927,5064106
04/04/2000,24.27,24.540001,23.709999,23.959999,-5.427058,6566042
05/04/2000,23.98,24.190001,22.77,23.4,-5.300216,5770112
06/04/2000,23.51,23.719999,22.809999,23.209999,-5.257181,4856294
07/04/2000,23.299999,23.799999,23.09,23.700001,-5.368166,3349546
10/04/2000,23.6,23.809999,23.43,23.66,-5.359106,2758539
11/04/2000,23.51,23.940001,23.200001,23.5,-5.322865,2975836
12/04/2000,23.450001,23.75,23.1,23.75,-5.379491,2926617
13/04/2000,23.610001,23.889999,23.299999,23.52,-5.327396,2283528
14/04/2000,23.209999,23.83,23.209999,23.6,-5.345514,3795889
17/04/2000,22.6,23.950001,22.6,23.9,-5.413466,5513469
18/04/2000,23.9,24.030001,23.25,24,-5.436116,3605309
