Date,Open,High,Low,Close,Adj Close,Volume
27/06/2002,6.25,6.42,6.22,6.25,1.983087,9434107
28/06/2002,6.38,6.49,6.3,6.38,2.024335,7187646
01/07/2002,6.2,6.4,6.2,6.2,1.967222,4668142
02/07/2002,6.18,6.23,6.15,6.18,1.960876,2679091
03/07/2002,6.11,6.2,6.05,6.11,1.938665,5248186
04/07/2002,6.23,6.23,6.08,6.23,1.97674,2366063
05/07/2002,6.35,6.35,6.22,6.35,2.014816,2673549
08/07/2002,6.38,6.4,6.27,6.38,2.024335,2030603
09/07/2002,6.37,6.41,6.31,6.37,2.021162,1710479
10/07/2002,6.23,6.35,6.19,6.23,1.97674,1321432
11/07/2002,6.28,6.28,6.09,6.28,1.992605,1658146
12/07/2002,6.4,6.4,6.25,6.4,2.030681,2542628
15/07/2002,6.1,6.48,6.05,6.1,1.935492,2325469
16/07/2002,6.1,6.3,6.01,6.1,1.935492,1838734
17/07/2002,6.11,6.2,6.04,6.11,1.938665,2198097
18/07/2002,6.03,6.18,6.03,6.03,1.913283,1703879
19/07/2002,6,6.16,5.98,6,1.903763,1937546
22/07/2002,6,6.05,5.91,6,1.903763,1910596
23/07/2002,6.1,6.17,6.02,6.1,1.935492,2764121
24/07/2002,5.8,6.07,5.76,5.8,1.840304,3265906
25/07/2002,6.05,6.1,5.94,6.05,1.919628,2317160
26/07/2002,5.74,6.04,5.71,5.74,1.821267,938378
29/07/2002,5.84,6,5.76,5.84,1.852995,312985
30/07/2002,5.61,5.85,5.61,5.61,1.780018,838444
31/07/2002,5.84,5.85,5.64,5.84,1.852995,1144328
01/08/2002,5.65,5.88,5.65,5.65,1.79271,832715
02/08/2002,5.84,5.84,5.67,5.84,1.852995,524775
05/08/2002,5.6,5.83,5.6,5.6,1.776845,388002
06/08/2002,5.63,5.74,5.58,5.63,1.786364,397274
07/08/2002,5.75,5.81,5.62,5.75,1.824439,488002
08/08/2002,5.86,5.99,5.67,5.86,1.859342,878348
09/08/2002,5.75,5.99,5.73,5.75,1.824439,280905
12/08/2002,5.8,5.88,5.76,5.8,1.840304,143744
13/08/2002,5.86,5.92,5.8,5.86,1.859342,304533
14/08/2002,5.98,5.98,5.78,5.98,1.897416,248431
15/08/2002,5.98,5.98,5.98,5.98,1.897416,0
16/08/2002,6,6.14,5.9,6,1.903763,850940
19/08/2002,5.91,6.04,5.89,5.91,1.875206,1110173
20/08/2002,5.75,6.04,5.73,5.75,1.824439,494669
21/08/2002,5.72,5.85,5.69,5.72,1.81492,495644
22/08/2002,5.7,5.79,5.7,5.7,1.808574,393391
23/08/2002,5.74,5.78,5.69,5.74,1.821267,584896
26/08/2002,5.75,5.78,5.69,5.75,1.824439,230278
27/08/2002,5.69,5.77,5.67,5.69,1.805402,341275
28/08/2002,5.64,5.7,5.63,5.64,1.789537,274047
29/08/2002,5.66,5.79,5.66,5.66,1.795882,513632
30/08/2002,5.63,5.73,5.63,5.63,1.786364,193056
02/09/2002,5.68,5.68,5.61,5.68,1.802229,248082
03/09/2002,5.57,5.67,5.57,5.57,1.767326,154092
04/09/2002,5.49,5.59,5.46,5.49,1.741943,283078
05/09/2002,5.45,5.56,5.45,5.45,1.729251,222242
06/09/2002,5.27,5.46,5.2,5.27,1.672138,768591
09/09/2002,5.21,5.37,5.21,5.21,1.653101,469522
10/09/2002,5.23,5.33,5.23,5.23,1.659447,616946
11/09/2002,5.4,5.4,5.23,5.4,1.713386,418379
12/09/2002,5.3,5.35,5.22,5.3,1.681657,1152545
13/09/2002,5.21,5.36,5.21,5.21,1.653101,1383001
16/09/2002,5.22,5.28,5.18,5.22,1.656273,261716
17/09/2002,5.14,5.29,5.14,5.14,1.63089,891741
18/09/2002,5.32,5.38,5.11,5.32,1.688003,1025126
19/09/2002,5.5,5.57,5.3,5.5,1.745116,709581
20/09/2002,5.4,5.56,5.3,5.4,1.713386,857656
23/09/2002,5.5,5.52,5.36,5.5,1.745116,470132
24/09/2002,5.54,5.54,5.35,5.54,1.757807,422886
25/09/2002,5.5,5.6,5.37,5.5,1.745116,570391
26/09/2002,5.7,5.7,5.46,5.7,1.808574,966180
27/09/2002,5.9,5.9,5.62,5.9,1.872033,790174
30/09/2002,5.7,5.96,5.68,5.7,1.808574,548506
01/10/2002,5.67,5.81,5.63,5.67,1.799056,193942
02/10/2002,5.82,5.9,5.67,5.82,1.84665,504698
03/10/2002,5.63,5.78,5.61,5.63,1.786364,334784
04/10/2002,5.55,5.7,5.53,5.55,1.760981,135581
07/10/2002,5.67,5.8,5.47,5.67,1.799056,419199
08/10/2002,5.63,5.79,5.63,5.63,1.786364,326635
09/10/2002,5.49,5.7,5.46,5.49,1.741943,293797
10/10/2002,5.53,5.55,5.42,5.53,1.754635,486469
11/10/2002,5.53,5.6,5.51,5.53,1.754635,150530
14/10/2002,5.46,5.54,5.45,5.46,1.732424,334064
15/10/2002,5.55,5.61,5.46,5.55,1.760981,670679
16/10/2002,5.63,5.67,5.53,5.63,1.786364,840689
17/10/2002,5.57,5.7,5.57,5.57,1.767326,369038
18/10/2002,5.66,5.68,5.57,5.66,1.795882,254109
21/10/2002,5.64,5.75,5.61,5.64,1.789537,262947
22/10/2002,5.7,5.78,5.65,5.7,1.808574,511451
23/10/2002,5.69,5.74,5.69,5.69,1.805402,240936
24/10/2002,5.63,5.71,5.63,5.63,1.786364,155343
25/10/2002,5.74,5.75,5.61,5.74,1.821267,234338
28/10/2002,5.68,5.71,5.65,5.68,1.802229,464907
29/10/2002,5.65,5.72,5.65,5.65,1.79271,237833
30/10/2002,5.51,5.72,5.48,5.51,1.748289,438695
31/10/2002,5.43,5.59,5.4,5.43,1.722905,482315
01/11/2002,5.43,5.43,5.43,5.43,1.722905,0
04/11/2002,5.5,5.5,5.45,5.5,1.745116,402855
05/11/2002,5.45,5.55,5.44,5.45,1.729251,406402
06/11/2002,5.46,5.54,5.46,5.46,1.732424,851066
07/11/2002,5.5,5.57,5.48,5.5,1.745116,593420
08/11/2002,5.5,5.54,5.47,5.5,1.745116,340281
11/11/2002,5.48,5.51,5.46,5.48,1.73877,204219
12/11/2002,5.48,5.54,5.45,5.48,1.73877,549766
13/11/2002,5.5,5.52,5.45,5.5,1.745116,320148
14/11/2002,5.5,5.5,5.46,5.5,1.745116,296301
15/11/2002,5.56,5.65,5.51,5.56,1.764153,441665
18/11/2002,5.58,5.62,5.56,5.58,1.7705,419173
19/11/2002,5.7,5.7,5.53,5.7,1.808574,341543
20/11/2002,5.7,5.74,5.66,5.7,1.808574,446295
21/11/2002,5.78,5.79,5.7,5.78,1.833958,502789
22/11/2002,5.75,5.82,5.75,5.75,1.824439,467406
25/11/2002,5.7,5.8,5.68,5.7,1.808574,835060
26/11/2002,5.71,5.76,5.62,5.71,1.811748,649746
27/11/2002,5.77,5.78,5.66,5.77,1.830785,532037
28/11/2002,5.76,5.82,5.7,5.76,1.827612,571669
29/11/2002,5.79,5.84,5.73,5.79,1.837131,270370
02/12/2002,5.87,6.04,5.83,5.87,1.862515,808703
03/12/2002,5.85,5.96,5.84,5.85,1.856169,283480
04/12/2002,5.88,5.93,5.8,5.88,1.865687,273573
05/12/2002,5.84,5.99,5.84,5.84,1.852995,306477
06/12/2002,5.84,5.84,5.84,5.84,1.852995,0
09/12/2002,5.81,5.95,5.72,5.81,1.843477,598221
10/12/2002,5.75,5.78,5.62,5.75,1.824439,1153207
11/12/2002,5.78,5.83,5.69,5.78,1.833958,884622
12/12/2002,5.7,5.78,5.7,5.7,1.808574,236134
13/12/2002,5.7,5.74,5.69,5.7,1.808574,310125
16/12/2002,5.7,5.75,5.69,5.7,1.808574,193249
17/12/2002,5.7,5.75,5.7,5.7,1.808574,432151
18/12/2002,5.7,5.75,5.7,5.7,1.808574,622197
19/12/2002,5.71,5.74,5.65,5.71,1.811748,382498
20/12/2002,5.77,5.77,5.68,5.77,1.830785,546360
23/12/2002,5.85,5.85,5.7,5.85,1.856169,235173
24/12/2002,5.85,5.85,5.85,5.85,1.856169,0
25/12/2002,5.85,5.85,5.85,5.85,1.856169,0
26/12/2002,5.85,5.85,5.85,5.85,1.856169,0
27/12/2002,5.82,5.92,5.8,5.82,1.84665,728362
30/12/2002,5.8,5.88,5.77,5.8,1.840304,518147
31/12/2002,5.8,5.8,5.8,5.8,1.840304,0
01/01/2003,5.8,5.8,5.8,5.8,1.840304,0
02/01/2003,5.91,5.95,5.79,5.91,1.875206,164335
03/01/2003,5.94,5.95,5.89,5.94,1.884725,299578
06/01/2003,5.94,5.94,5.94,5.94,1.884725,0
07/01/2003,6.02,6.18,5.98,6.02,1.910109,710059
08/01/2003,6.18,6.18,6.03,6.18,1.960876,611108
09/01/2003,6.12,6.2,6.12,6.12,1.941839,2593198
10/01/2003,6.08,6.17,6,6.08,1.929146,5499817
13/01/2003,6.18,6.18,6.09,6.18,1.960876,1344631
14/01/2003,6.37,6.37,6.09,6.37,2.021162,3635967
15/01/2003,6.22,6.37,6.18,6.22,1.973568,2775756
16/01/2003,6.28,6.3,6.21,6.28,1.992605,1604508
17/01/2003,6.23,6.25,6.15,6.23,2.005481,1804919
20/01/2003,6.19,6.23,6.14,6.19,1.992605,300196
21/01/2003,6.2,6.25,6.17,6.2,1.995824,509143
22/01/2003,6.25,6.25,6.17,6.25,2.01192,1752648
23/01/2003,6.22,6.25,6.17,6.22,2.002262,679091
24/01/2003,6.19,6.25,6.16,6.19,1.992605,337382
27/01/2003,6.15,6.21,6.1,6.15,1.979729,813377
28/01/2003,6.1,6.2,6.08,6.1,1.963633,528904
29/01/2003,6.14,6.16,6.06,6.14,1.976509,834794
30/01/2003,6.18,6.21,6.07,6.18,1.989386,345969
31/01/2003,6.13,6.16,6.07,6.13,1.973291,675828
03/02/2003,6.26,6.26,6.08,6.26,2.015139,286681
04/02/2003,6.3,6.3,6.15,6.3,2.028015,1353824
05/02/2003,6.32,6.34,6.2,6.32,2.034453,854234
06/02/2003,6.34,6.34,6.15,6.34,2.040891,520286
07/02/2003,6.2,6.3,6.19,6.2,1.995824,426904
10/02/2003,6.2,6.22,6.15,6.2,1.995824,456187
11/02/2003,6.2,6.25,6.18,6.2,1.995824,890852
12/02/2003,6.21,6.24,6.1,6.21,1.999043,762071
13/02/2003,6.21,6.24,6.15,6.21,1.999043,458003
14/02/2003,6.25,6.25,6.16,6.25,2.01192,903185
17/02/2003,6.35,6.35,6.21,6.35,2.04411,790185
18/02/2003,6.39,6.41,6.29,6.39,2.056986,1423200
19/02/2003,6.36,6.41,6.32,6.36,2.04733,349081
20/02/2003,6.32,6.41,6.28,6.32,2.034453,1117317
21/02/2003,6.38,6.4,6.27,6.38,2.053768,1099176
24/02/2003,6.35,6.39,6.29,6.35,2.04411,916350
25/02/2003,6.32,6.34,6.28,6.32,2.034453,631296
26/02/2003,6.31,6.35,6.29,6.31,2.031234,422008
27/02/2003,6.31,6.35,6.3,6.31,2.031234,1091262
28/02/2003,6.46,6.46,6.3,6.46,2.07952,798852
03/03/2003,6.35,6.45,6.33,6.35,2.04411,479671
04/03/2003,6.32,6.39,6.28,6.32,2.034453,724843
05/03/2003,6.4,6.42,6.26,6.4,2.060206,335334
06/03/2003,6.4,6.42,6.32,6.4,2.060206,360425
07/03/2003,6.5,6.5,6.3,6.5,2.092397,1548933
10/03/2003,6.3,6.47,6.22,6.3,2.028015,3794958
11/03/2003,6.28,6.35,6.22,6.28,2.021577,1340318
12/03/2003,6.22,6.28,6.18,6.22,2.002262,2411782
13/03/2003,6.27,6.27,6.16,6.27,2.018358,766503
14/03/2003,6.38,6.4,6.21,6.38,2.053768,1961903
17/03/2003,6.4,6.41,6.27,6.4,2.060206,466293
18/03/2003,6.33,6.38,6.2,6.33,2.037672,864783
19/03/2003,6.39,6.4,6.32,6.39,2.056986,496054
20/03/2003,6.32,6.37,6.26,6.32,2.034453,461918
21/03/2003,6.34,6.4,6.28,6.34,2.040891,417298
24/03/2003,6.34,6.35,6.31,6.34,2.040891,216883
25/03/2003,6.35,6.41,6.32,6.35,2.04411,667432
26/03/2003,6.45,6.45,6.35,6.45,2.076301,1014325
27/03/2003,6.32,6.44,6.31,6.32,2.034453,645244
28/03/2003,6.4,6.4,6.31,6.4,2.060206,1894063
31/03/2003,6.42,6.46,6.33,6.42,2.066644,735106
01/04/2003,6.43,6.48,6.38,6.43,2.069863,423642
02/04/2003,6.37,6.45,6.35,6.37,2.050549,663886
