Date,Open,High,Low,Close,Adj Close,Volume
04/01/2000,14.71,14.95,14.5,14.6,7.347927,275195
05/01/2000,14.5,14.6,14.28,14.3,7.196941,116365
06/01/2000,14.3,14.3,14.3,14.3,7.196941,0
07/01/2000,14.7,14.7,14.3,14.59,7.342894,295354
10/01/2000,14.65,14.68,14.05,14.14,7.116416,369881
11/01/2000,14.1,14.1,13.35,13.43,6.759086,535341
12/01/2000,13.44,13.83,13.4,13.53,6.809413,326020
13/01/2000,13.71,13.93,12.53,12.95,6.51751,348152
14/01/2000,13,14.07,12.95,13.99,7.040925,409429
17/01/2000,14.49,14.49,13.2,13.22,6.653396,255976
18/01/2000,13.2,13.22,12.21,12.75,6.416856,317038
19/01/2000,12.45,13,12.41,12.6,6.34136,146614
20/01/2000,12.65,13.25,12.6,12.75,6.416856,132679
21/01/2000,12.94,13.09,12,12.1,6.08972,354618
24/01/2000,12.42,12.6,12.01,12.15,6.114883,351658
25/01/2000,12.15,12.25,11.94,11.99,6.034359,960374
26/01/2000,12,12.05,11.78,11.98,6.029326,442771
27/01/2000,12.36,12.65,12.01,12.01,6.044425,893269
28/01/2000,12.38,12.38,11.75,11.88,5.978998,1239954
31/01/2000,11.8,12.3,11.8,12,6.039393,914778
01/02/2000,12.05,12.1,11.9,12,6.039393,1168307
02/02/2000,12.15,12.15,11.94,11.99,6.034359,636395
03/02/2000,12.1,12.69,12,12.69,6.386656,693378
04/02/2000,12.75,12.82,12.48,12.66,6.371557,399696
07/02/2000,12.8,13.34,12.61,13.25,6.668496,968169
08/02/2000,13.25,13.3,13.01,13.12,6.603069,443360
09/02/2000,13.19,13.55,13.12,13.28,6.683594,771806
10/02/2000,13.05,13.48,13.05,13.38,6.733922,285296
11/02/2000,13.5,13.5,13.1,13.25,6.668496,346434
14/02/2000,13.21,13.3,12.4,12.5,6.291032,574773
15/02/2000,12.51,12.75,12.4,12.61,6.346393,375289
16/02/2000,12.74,13.12,12.6,12.8,6.442018,582025
17/02/2000,13.02,13.9,12.86,13.9,6.995627,694583
18/02/2000,14,14.9,13.66,14.9,7.498911,895283
21/02/2000,14.89,15.4,14.31,15.36,7.730422,635898
