Date,Close,Open,High,Low,Volume,% var.
07/10/2010,"1,820","1,810","1,840","1,810","52,62K","0,55%"
08/10/2010,"1,790","1,820","1,830","1,790","17,09K","-1,65%"
11/10/2010,"1,840","1,840","1,840","1,780","15,23K","2,79%"
12/10/2010,"1,820","1,810","1,820","1,790","7,46K","-1,09%"
13/10/2010,"1,850","1,820","1,850","1,810","15,69K","1,65%"
14/10/2010,"1,850","1,850","1,860","1,820","23,90K","0,00%"
15/10/2010,"1,810","1,810","1,880","1,800","8,72K","-2,16%"
18/10/2010,"1,820","1,810","1,820","1,770","36,62K","0,55%"
19/10/2010,"1,840","1,790","1,840","1,790","18,10K","1,10%"
20/10/2010,"1,810","1,830","1,830","1,810","1,92K","-1,63%"
21/10/2010,"1,830","1,770","1,870","1,770","35,65K","1,10%"
22/10/2010,"1,800","1,810","1,840","1,800","33,47K","-1,64%"
25/10/2010,"1,910","1,800","1,920","1,780","100,01K","6,11%"
26/10/2010,"1,860","1,910","1,990","1,860","89,46K","-2,62%"
27/10/2010,"1,910","1,860","1,950","1,830","30,70K","2,69%"
28/10/2010,"1,910","1,950","1,950","1,840","17,53K","0,00%"
29/10/2010,"1,940","1,910","1,950","1,860","15,58K","1,57%"
01/11/2010,"2,020","2,050","2,180","1,980","155,33K","4,12%"
02/11/2010,"2,040","2,030","2,060","1,990","13,75K","0,99%"
03/11/2010,"1,930","2,050","2,050","1,920","25,45K","-5,39%"
04/11/2010,"1,930","1,950","1,990","1,880","31,13K","0,00%"
05/11/2010,"1,960","1,940","1,960","1,860","11,86K","1,55%"
08/11/2010,"1,960","1,900","2,000","1,900","11,73K","0,00%"
09/11/2010,"2,000","1,980","2,030","1,950","19,00K","2,04%"
10/11/2010,"1,910","1,990","2,000","1,890","31,64K","-4,50%"
11/11/2010,"1,840","1,910","1,950","1,800","41,79K","-3,66%"
12/11/2010,"1,840","1,810","1,890","1,760","74,05K","0,00%"
15/11/2010,"1,790","1,830","1,830","1,710","118,14K","-2,72%"
16/11/2010,"1,730","1,760","1,780","1,730","23,52K","-3,35%"
17/11/2010,"1,730","1,710","1,770","1,710","4,85K","0,00%"
18/11/2010,"1,730","1,780","1,790","1,730","21,96K","0,00%"
19/11/2010,"1,720","1,750","1,810","1,710","37,94K","-0,58%"
22/11/2010,"1,710","1,720","1,770","1,710","47,76K","-0,58%"
23/11/2010,"1,640","1,710","1,730","1,620","54,42K","-4,09%"
24/11/2010,"1,680","1,680","1,700","1,680","18,72K","2,44%"
25/11/2010,"1,720","1,690","1,720","1,680","73,43K","2,38%"
26/11/2010,"1,720","1,720","1,720","1,680","76,34K","0,00%"
29/11/2010,"1,680","1,730","1,730","1,680","81,23K","-2,33%"
30/11/2010,"1,470","1,680","1,700","1,440","261,41K","-12,50%"
01/12/2010,"1,520","1,440","1,560","1,440","44,11K","3,40%"
02/12/2010,"1,450","1,550","1,580","1,410","108,17K","-4,61%"
03/12/2010,"1,490","1,450","1,550","1,440","42,12K","2,76%"
06/12/2010,"1,500","1,500","1,510","1,500","15,60K","0,67%"
07/12/2010,"1,530","1,500","1,550","1,490","1,79K","2,00%"
08/12/2010,"1,540","1,530","1,640","1,510","25,08K","0,65%"
09/12/2010,"1,520","1,570","1,570","1,510","8,41K","-1,30%"
10/12/2010,"1,560","1,540","1,570","1,510","12,74K","2,63%"
13/12/2010,"1,560","1,570","1,570","1,530","2,95K","0,00%"
14/12/2010,"1,560","1,540","1,570","1,510","21,81K","0,00%"
15/12/2010,"1,570","1,520","1,570","1,510","37,38K","0,64%"
16/12/2010,"1,560","1,540","1,590","1,520","17,67K","-0,64%"
17/12/2010,"1,580","1,590","1,590","1,530","10,27K","1,28%"
20/12/2010,"1,620","1,580","1,700","1,570","32,49K","2,53%"
21/12/2010,"1,590","1,610","1,610","1,560","13,27K","-1,85%"
22/12/2010,"1,580","1,590","1,590","1,540","22,07K","-0,63%"
23/12/2010,"1,590","1,550","1,630","1,530","20,32K","0,63%"
27/12/2010,"1,580","1,550","1,580","1,500","43,37K","-0,63%"
28/12/2010,"1,560","1,590","1,590","1,540","19,73K","-1,27%"
29/12/2010,"1,520","1,520","1,550","1,510","40,77K","-2,56%"
30/12/2010,"1,510","1,520","1,530","1,510","41,17K","-0,66%"
03/01/2011,"1,520","1,560","1,560","1,520","16,14K","0,66%"
04/01/2011,"1,510","1,510","1,510","1,510","1,78K","-0,66%"
05/01/2011,"1,520","1,530","1,570","1,480","80,54K","0,66%"
06/01/2011,"1,500","1,590","1,590","1,490","5,62K","-1,32%"
07/01/2011,"1,500","1,490","1,500","1,480","4,55K","0,00%"
10/01/2011,"1,490","1,490","1,500","1,490","15,49K","-0,67%"
11/01/2011,"1,540","1,490","1,580","1,490","16,45K","3,36%"
12/01/2011,"1,520","1,520","1,570","1,520","6,57K","-1,30%"
13/01/2011,"1,540","1,580","1,580","1,540","3,72K","1,32%"
14/01/2011,"1,580","1,590","1,590","1,520","26,74K","2,60%"
17/01/2011,"1,630","1,580","1,650","1,560","59,77K","3,16%"
18/01/2011,"1,680","1,660","1,740","1,640","47,80K","3,07%"
19/01/2011,"1,610","1,680","1,720","1,600","21,17K","-4,17%"
20/01/2011,"1,660","1,630","1,660","1,630","6,65K","3,11%"
21/01/2011,"1,760","1,650","1,850","1,650","87,56K","6,02%"
24/01/2011,"1,890","1,830","1,990","1,820","159,23K","7,39%"
25/01/2011,"1,930","1,940","1,950","1,880","194,85K","2,12%"
26/01/2011,"1,930","1,960","1,960","1,850","34,64K","0,00%"
27/01/2011,"1,900","1,900","1,960","1,900","66,45K","-1,55%"
28/01/2011,"1,900","1,850","1,910","1,830","33,07K","0,00%"
31/01/2011,"1,890","1,930","1,960","1,860","43,67K","-0,53%"
01/02/2011,"1,870","1,910","1,940","1,870","7,51K","-1,06%"
02/02/2011,"1,940","1,880","1,990","1,870","59,36K","3,74%"
03/02/2011,"1,940","1,950","1,970","1,860","21,21K","0,00%"
04/02/2011,"1,910","1,840","1,910","1,840","30,18K","-1,55%"
07/02/2011,"2,050","1,910","2,130","1,900","107,52K","7,33%"
08/02/2011,"2,080","2,100","2,100","1,980","31,75K","1,46%"
09/02/2011,"2,240","2,170","2,330","2,160","384,12K","7,69%"
10/02/2011,"2,190","2,310","2,310","2,130","94,17K","-2,23%"
11/02/2011,"2,220","2,170","2,290","2,140","67,69K","1,37%"
14/02/2011,"2,210","2,220","2,350","2,080","172,13K","-0,45%"
15/02/2011,"2,140","2,240","2,280","2,060","105,95K","-3,17%"
16/02/2011,"2,010","2,160","2,190","1,980","316,32K","-6,07%"
17/02/2011,"2,010","2,030","2,060","1,960","96,90K","0,00%"
18/02/2011,"1,980","2,010","2,080","1,980","72,89K","-1,49%"
21/02/2011,"1,990","1,960","2,020","1,950","58,46K","0,51%"
22/02/2011,"1,990","2,020","2,020","1,960","16,51K","0,00%"
23/02/2011,"1,970","1,900","2,000","1,900","28,27K","-1,01%"
24/02/2011,"1,950","1,960","2,000","1,950","13,71K","-1,02%"
25/02/2011,"1,930","2,000","2,070","1,930","151,91K","-1,03%"
28/02/2011,"1,940","1,970","1,970","1,940","11,83K","0,52%"
01/03/2011,"1,860","1,900","1,900","1,800","116,86K","-4,12%"
02/03/2011,"1,880","1,840","1,900","1,800","99,58K","1,08%"
03/03/2011,"1,840","1,830","1,890","1,770","128,61K","-2,13%"
04/03/2011,"1,790","1,840","1,840","1,780","7,79K","-2,72%"
07/03/2011,"1,780","1,800","1,820","1,770","22,87K","-0,56%"
08/03/2011,"1,770","1,800","1,800","1,770","6,06K","-0,56%"
09/03/2011,"1,860","1,880","1,880","1,810","33,25K","5,08%"
10/03/2011,"1,810","1,820","1,830","1,770","27,17K","-2,69%"
11/03/2011,"1,800","1,820","1,820","1,800","17,56K","-0,55%"
14/03/2011,"1,770","1,770","1,790","1,760","23,15K","-1,67%"
15/03/2011,"1,720","1,770","1,780","1,720","14,15K","-2,82%"
16/03/2011,"1,650","1,740","1,750","1,650","43,52K","-4,07%"
17/03/2011,"1,710","1,650","1,720","1,650","30,65K","3,64%"
18/03/2011,"1,700","1,750","1,750","1,660","17,30K","-0,58%"
21/03/2011,"1,770","1,710","1,770","1,710","7,35K","4,12%"
22/03/2011,"1,780","1,780","1,840","1,770","27,26K","0,56%"
23/03/2011,"1,810","1,790","1,840","1,780","7,27K","1,69%"
24/03/2011,"1,830","1,800","1,830","1,770","12,57K","1,10%"
25/03/2011,"1,850","1,830","1,890","1,780","33,00K","1,09%"
28/03/2011,"1,860","1,880","1,880","1,830","15,56K","0,54%"
29/03/2011,"1,880","1,880","1,910","1,880","38,02K","1,08%"
30/03/2011,"1,970","1,920","2,000","1,920","70,28K","4,79%"
31/03/2011,"1,890","1,970","1,970","1,880","16,80K","-4,06%"
01/04/2011,"1,840","1,890","1,890","1,800","64,35K","-2,65%"
04/04/2011,"1,860","1,840","1,880","1,780","23,91K","1,09%"
05/04/2011,"1,840","1,820","1,850","1,810","11,93K","-1,08%"
06/04/2011,"1,830","1,850","1,850","1,790","34,04K","-0,54%"
07/04/2011,"1,840","1,800","1,850","1,800","11,99K","0,55%"
08/04/2011,"1,830","1,850","1,850","1,770","15,03K","-0,54%"
11/04/2011,"1,820","1,820","1,820","1,790","14,00K","-0,55%"
12/04/2011,"1,810","1,810","1,850","1,800","16,15K","-0,55%"
13/04/2011,"1,840","1,800","1,840","1,790","11,08K","1,66%"
14/04/2011,"1,820","1,820","1,820","1,790","2,11K","-1,09%"
15/04/2011,"1,780","1,850","1,850","1,780","14,97K","-2,20%"
18/04/2011,"1,800","1,790","1,820","1,720","39,37K","1,12%"
19/04/2011,"1,750","1,720","1,790","1,720","8,84K","-2,78%"
20/04/2011,"1,750","1,750","1,780","1,750","6,25K","0,00%"
21/04/2011,"1,740","1,770","1,770","1,740","1,22K","-0,57%"
26/04/2011,"1,740","1,790","1,790","1,740","2,56K","0,00%"
27/04/2011,"1,740","1,790","1,790","1,740","2,19K","0,00%"
28/04/2011,"1,780","1,740","1,780","1,740","4,83K","2,30%"
29/04/2011,"1,800","1,750","1,800","1,740","8,27K","1,12%"
02/05/2011,"1,850","1,770","1,870","1,740","18,70K","2,78%"
03/05/2011,"1,800","1,800","1,840","1,780","10,33K","-2,70%"
04/05/2011,"1,860","1,800","1,860","1,800","40,34K","3,33%"
05/05/2011,"1,860","1,870","1,900","1,860","29,53K","0,00%"
06/05/2011,"1,900","1,860","1,900","1,850","12,22K","2,15%"
09/05/2011,"1,840","1,810","1,880","1,810","15,88K","-3,16%"
10/05/2011,"1,840","1,820","1,840","1,820","0,43K","0,00%"
11/05/2011,"1,870","1,840","1,870","1,820","8,36K","1,63%"
12/05/2011,"1,820","1,820","1,870","1,810","12,85K","-2,67%"
13/05/2011,"1,800","1,800","1,820","1,800","1,72K","-1,10%"
16/05/2011,"1,860","1,810","1,880","1,780","32,81K","3,33%"
17/05/2011,"1,800","1,820","1,820","1,800","5,61K","-3,23%"
18/05/2011,"1,900","1,870","2,030","1,820","416,60K","5,56%"
19/05/2011,"1,910","1,940","1,970","1,860","46,11K","0,53%"
20/05/2011,"1,920","1,910","1,950","1,880","75,37K","0,52%"
23/05/2011,"1,840","1,860","1,950","1,820","14,44K","-4,17%"
24/05/2011,"1,860","1,900","1,900","1,840","23,48K","1,09%"
25/05/2011,"1,850","1,830","1,880","1,820","10,28K","-0,54%"
26/05/2011,"1,850","1,880","1,880","1,820","21,19K","0,00%"
27/05/2011,"1,860","1,870","1,870","1,840","2,13K","0,54%"
30/05/2011,"1,890","1,890","1,920","1,860","14,78K","1,61%"
31/05/2011,"1,870","1,910","1,910","1,850","11,41K","-1,06%"
01/06/2011,"1,780","1,880","1,920","1,780","56,95K","-4,81%"
02/06/2011,"1,820","1,840","1,840","1,780","11,00K","2,25%"
03/06/2011,"1,780","1,790","1,850","1,780","6,56K","-2,20%"
06/06/2011,"1,790","1,750","1,790","1,700","20,21K","0,56%"
07/06/2011,"1,790","1,800","1,810","1,720","12,76K","0,00%"
08/06/2011,"1,770","1,800","1,810","1,730","20,57K","-1,12%"
09/06/2011,"1,790","1,760","1,790","1,760","7,95K","1,13%"
10/06/2011,"1,730","1,750","1,780","1,720","6,85K","-3,35%"
13/06/2011,"1,760","1,700","1,780","1,700","14,57K","1,73%"
14/06/2011,"1,710","1,710","1,740","1,700","15,77K","-2,84%"
15/06/2011,"1,710","1,710","1,710","1,700","5,07K","0,00%"
16/06/2011,"1,700","1,700","1,700","1,660","4,63K","-0,58%"
17/06/2011,"1,660","1,660","1,700","1,660","3,36K","-2,35%"
20/06/2011,"1,650","1,660","1,660","1,650","17,70K","-0,60%"
21/06/2011,"1,630","1,640","1,640","1,570","16,66K","-1,21%"
22/06/2011,"1,590","1,590","1,610","1,590","4,60K","-2,45%"
23/06/2011,"1,520","1,560","1,620","1,510","5,79K","-4,40%"
24/06/2011,"1,600","1,600","1,600","1,530","9,51K","5,26%"
27/06/2011,"1,580","1,600","1,600","1,550","12,55K","-1,25%"
28/06/2011,"1,640","1,590","1,660","1,590","7,99K","3,80%"
29/06/2011,"1,640","1,640","1,640","1,640","1,00K","0,00%"
30/06/2011,"1,590","1,650","1,660","1,590","6,15K","-3,05%"
01/07/2011,"1,580","1,640","1,640","1,550","39,15K","-0,63%"
04/07/2011,"1,610","1,590","1,640","1,580","17,15K","1,90%"
05/07/2011,"1,600","1,610","1,610","1,580","3,32K","-0,62%"
06/07/2011,"1,590","1,570","1,600","1,560","13,10K","-0,62%"
07/07/2011,"1,570","1,580","1,600","1,570","11,65K","-1,26%"
08/07/2011,"1,520","1,560","1,600","1,520","11,43K","-3,18%"
11/07/2011,"1,510","1,510","1,540","1,510","8,09K","-0,66%"
12/07/2011,"1,600","1,500","1,610","1,450","60,53K","5,96%"
13/07/2011,"1,590","1,600","1,620","1,530","9,34K","-0,62%"
14/07/2011,"1,520","1,530","1,530","1,460","28,18K","-4,40%"
15/07/2011,"1,460","1,550","1,550","1,450","29,32K","-3,95%"
18/07/2011,"1,450","1,480","1,520","1,450","13,90K","-0,68%"
19/07/2011,"1,540","1,460","1,540","1,460","5,97K","6,21%"
20/07/2011,"1,550","1,480","1,550","1,460","20,68K","0,65%"
21/07/2011,"1,500","1,500","1,500","1,460","14,72K","-3,23%"
22/07/2011,"1,470","1,510","1,570","1,470","14,73K","-2,00%"
25/07/2011,"1,460","1,490","1,490","1,460","5,04K","-0,68%"
26/07/2011,"1,490","1,460","1,490","1,450","7,64K","2,05%"
27/07/2011,"1,450","1,470","1,490","1,450","8,55K","-2,68%"
28/07/2011,"1,450","1,490","1,490","1,450","19,35K","0,00%"
29/07/2011,"1,470","1,450","1,480","1,450","5,74K","1,38%"
01/08/2011,"1,500","1,500","1,600","1,480","11,43K","2,04%"
02/08/2011,"1,450","1,500","1,500","1,450","9,75K","-3,33%"
03/08/2011,"1,460","1,480","1,480","1,460","3,19K","0,69%"
04/08/2011,"1,440","1,460","1,460","1,440","75,51K","-1,37%"
05/08/2011,"1,450","1,480","1,480","1,410","10,33K","0,69%"
08/08/2011,"1,180","1,410","1,410","1,100","155,56K","-18,62%"
09/08/2011,"1,050","1,140","1,180","0,950","168,11K","-11,02%"
10/08/2011,"0,950","1,030","1,090","0,950","38,11K","-9,52%"
11/08/2011,"0,900","1,020","1,020","0,900","49,61K","-5,26%"
12/08/2011,"0,900","0,980","0,980","0,900","35,81K","0,00%"
15/08/2011,"0,920","0,960","0,960","0,920","3,00K","2,22%"
16/08/2011,"0,810","0,920","0,920","0,810","44,74K","-11,96%"
17/08/2011,"0,780","0,810","0,850","0,750","44,59K","-3,70%"
18/08/2011,"0,710","0,780","0,780","0,710","18,89K","-8,97%"
19/08/2011,"0,730","0,710","0,750","0,680","25,52K","2,82%"
22/08/2011,"0,900","0,730","0,980","0,730","58,76K","23,29%"
23/08/2011,"1,020","0,950","1,030","0,910","48,21K","13,33%"
24/08/2011,"0,960","1,050","1,100","0,950","80,39K","-5,88%"
25/08/2011,"0,910","0,990","0,990","0,910","25,43K","-5,21%"
26/08/2011,"0,840","0,900","0,900","0,820","34,55K","-7,69%"
29/08/2011,"0,850","0,820","0,860","0,800","22,99K","1,19%"
30/08/2011,"0,870","0,860","0,950","0,860","52,35K","2,35%"
31/08/2011,"0,880","0,900","0,920","0,870","19,46K","1,15%"
01/09/2011,"0,910","0,920","0,920","0,880","22,72K","3,41%"
02/09/2011,"0,890","0,880","0,890","0,840","25,49K","-2,20%"
05/09/2011,"0,820","0,840","0,840","0,820","21,68K","-7,87%"
06/09/2011,"0,800","0,840","0,840","0,800","3,40K","-2,44%"
07/09/2011,"0,860","0,800","0,860","0,780","42,26K","7,50%"
08/09/2011,"0,870","0,810","0,880","0,810","9,06K","1,16%"
09/09/2011,"0,830","0,870","0,870","0,830","2,60K","-4,60%"
12/09/2011,"0,840","0,810","0,840","0,780","38,72K","1,20%"
13/09/2011,"0,790","0,820","0,840","0,740","17,22K","-5,95%"
14/09/2011,"0,780","0,820","0,830","0,780","3,70K","-1,27%"
15/09/2011,"0,780","0,780","0,800","0,760","37,46K","0,00%"
16/09/2011,"0,830","0,810","0,830","0,810","12,51K","6,41%"
19/09/2011,"0,780","0,810","0,820","0,780","5,62K","-6,02%"
20/09/2011,"0,810","0,800","0,810","0,800","1,10K","3,85%"
21/09/2011,"0,810","0,800","0,810","0,760","42,83K","0,00%"
22/09/2011,"0,770","0,780","0,780","0,770","1,75K","-4,94%"
23/09/2011,"0,780","0,770","0,780","0,740","8,26K","1,30%"
26/09/2011,"0,810","0,770","0,810","0,740","2,00K","3,85%"
27/09/2011,"0,780","0,730","0,800","0,730","9,70K","-3,70%"
28/09/2011,"0,780","0,790","0,790","0,780","3,60K","0,00%"
29/09/2011,"0,800","0,790","0,810","0,790","34,00K","2,56%"
30/09/2011,"0,790","0,790","0,790","0,730","29,25K","-1,25%"
03/10/2011,"0,750","0,730","0,770","0,730","39,63K","-5,06%"
04/10/2011,"0,720","0,730","0,730","0,690","15,71K","-4,00%"
05/10/2011,"0,670","0,720","0,720","0,670","7,31K","-6,94%"
06/10/2011,"0,630","0,690","0,690","0,610","172,35K","-5,97%"
07/10/2011,"0,630","0,620","0,650","0,590","59,45K","0,00%"
10/10/2011,"0,630","0,620","0,670","0,620","54,57K","0,00%"
11/10/2011,"0,620","0,620","0,630","0,620","18,93K","-1,59%"
12/10/2011,"0,620","0,620","0,630","0,590","14,24K","0,00%"
13/10/2011,"0,620","0,630","0,650","0,620","8,96K","0,00%"
14/10/2011,"0,630","0,610","0,640","0,610","47,58K","1,61%"
17/10/2011,"0,620","0,620","0,660","0,600","49,35K","-1,59%"
18/10/2011,"0,630","0,620","0,630","0,620","24,91K","1,61%"
19/10/2011,"0,620","0,630","0,630","0,620","1,98K","-1,59%"
20/10/2011,"0,630","0,620","0,630","0,620","4,70K","1,61%"
21/10/2011,"0,640","0,640","0,640","0,640","4,01K","1,59%"
24/10/2011,"0,650","0,620","0,650","0,620","20,37K","1,56%"
25/10/2011,"0,640","0,650","0,650","0,630","22,92K","-1,54%"
26/10/2011,"0,640","0,640","0,640","0,620","18,90K","0,00%"
27/10/2011,"0,630","0,640","0,640","0,620","5,01K","-1,56%"
