Date,Open,High,Low,Close,Adj Close,Volume
02/01/2007,5.25,5.395,5.1,5.34,4.50782,1944496
03/01/2007,5.4,5.57,5.105,5.15,4.347431,3363490
04/01/2007,5.165,5.165,4.95,5.07,4.279897,2438864
05/01/2007,5.125,5.29,5.08,5.16,4.355872,1393618
08/01/2007,5.175,5.245,5.065,5.065,4.275676,752108
09/01/2007,5.215,5.39,5.15,5.325,4.495158,7029704
10/01/2007,5.375,5.6,5.26,5.545,4.680873,6335458
11/01/2007,5.665,5.95,5.555,5.745,4.849706,9150050
12/01/2007,5.815,5.82,5.56,5.585,4.714641,3970156
15/01/2007,5.7,5.755,5.64,5.68,4.794836,1911182
16/01/2007,5.74,5.74,5.525,5.545,4.680873,1674308
17/01/2007,5.615,5.625,5.41,5.44,4.592236,2699578
18/01/2007,5.47,5.665,5.47,5.56,4.693535,2328242
19/01/2007,5.65,5.695,5.575,5.66,4.777952,1850112
22/01/2007,5.76,5.815,5.63,5.645,4.76529,2352622
23/01/2007,5.645,5.7,5.535,5.565,4.697757,2042976
24/01/2007,5.575,5.655,5.57,5.62,4.744185,1307488
25/01/2007,5.64,5.97,5.61,5.795,4.891913,3991094
26/01/2007,5.77,5.84,5.675,5.75,4.853927,2250266
29/01/2007,5.835,5.835,5.725,5.765,4.86659,1019800
30/01/2007,5.8,5.925,5.75,5.87,4.955226,2811200
31/01/2007,5.9,5.975,5.865,5.875,4.959447,1617202
01/02/2007,5.92,6.265,5.905,6.145,5.187371,5004986
02/02/2007,6.195,6.285,6.16,6.22,5.250682,3230908
05/02/2007,6.245,6.25,6.055,6.11,5.157825,4930716
06/02/2007,6.055,6.1,5.905,5.96,5.0312,6123256
07/02/2007,5.95,6.055,5.935,6.005,5.069188,2632738
08/02/2007,6.075,6.12,6,6.025,5.086071,2281232
09/02/2007,5.995,6.05,5.925,5.93,5.005875,2454308
12/02/2007,6.04,6.04,5.9,5.935,5.010096,2054884
13/02/2007,5.935,6.02,5.915,5.995,5.060746,1262050
14/02/2007,6,6.09,5.975,6.03,5.090292,2588126
15/02/2007,6.08,6.09,6.045,6.06,5.115616,1203480
16/02/2007,6.05,6.08,6.04,6.05,5.107174,1389686
19/02/2007,6.07,6.195,6.05,6.19,5.225358,1218402
20/02/2007,6.195,6.195,6.115,6.145,5.187371,1262178
21/02/2007,6.175,6.455,6.175,6.445,5.44062,3643172
22/02/2007,6.44,6.44,6.3,6.315,5.330877,1816768
23/02/2007,6.345,6.4,6.125,6.14,5.183149,2339006
26/02/2007,6.25,6.305,6.12,6.22,5.250682,2056828
27/02/2007,6.22,6.225,5.755,5.765,4.86659,4176004
28/02/2007,5.55,6.045,5.28,5.795,4.891913,6651172
01/03/2007,5.85,5.945,5.505,5.85,4.938343,3274824
02/03/2007,5.9,5.9,5.665,5.825,4.917237,1523086
05/03/2007,5.55,5.645,5.45,5.535,4.672433,2896192
06/03/2007,5.6,5.725,5.58,5.62,4.744185,1779350
07/03/2007,5.655,5.74,5.55,5.59,4.71886,2454070
08/03/2007,5.665,5.695,5.6,5.645,4.76529,1998164
09/03/2007,5.695,5.695,5.525,5.6,4.727303,1928522
12/03/2007,5.615,5.715,5.59,5.7,4.811718,1718132
13/03/2007,5.675,5.755,5.635,5.725,4.832822,1485002
14/03/2007,5.5,5.595,5.405,5.525,4.663991,1338026
15/03/2007,5.61,5.995,5.595,5.995,5.060746,3197916
16/03/2007,6,6.07,5.81,5.975,5.043864,1678466
19/03/2007,5.91,6.045,5.9,6.035,5.094513,887580
20/03/2007,6.035,6.15,6.035,6.115,5.162044,1635764
21/03/2007,6.085,6.12,6.005,6.045,5.102954,732720
22/03/2007,6.105,6.175,6,6.07,5.124059,1405174
23/03/2007,6.115,6.115,5.98,6.015,5.07763,868832
26/03/2007,6.025,6.05,5.965,6,5.064967,532446
27/03/2007,6.01,6.08,5.995,6.005,5.069188,633554
28/03/2007,6.02,6.115,5.975,6.045,5.102954,732896
29/03/2007,6,6.095,5.985,6.01,5.073408,1147804
30/03/2007,6.06,6.06,6,6.01,5.073408,531378
02/04/2007,6,6.035,5.97,6.01,5.073408,1045350
03/04/2007,6.05,6.17,6,6.13,5.174708,3477890
04/04/2007,6.175,6.24,6.125,6.175,5.212695,1328536
05/04/2007,6.165,6.19,6.13,6.165,5.204253,699812
10/04/2007,6.18,6.37,6.18,6.325,5.339319,1460360
11/04/2007,6.295,6.335,6.045,6.235,5.263344,8580956
12/04/2007,6.225,6.3,6.1,6.28,5.301331,1580192
13/04/2007,6.275,6.435,6.275,6.385,5.38997,2598674
16/04/2007,6.34,6.445,6.34,6.4,5.402632,1380968
17/04/2007,6.42,6.655,6.36,6.64,5.60523,2986196
18/04/2007,6.62,6.78,6.455,6.475,5.465943,2399414
19/04/2007,6.415,6.515,6.28,6.45,5.444838,1394360
20/04/2007,6.575,6.59,6.485,6.525,5.508152,1025320
23/04/2007,6.56,6.65,6.475,6.525,5.508152,1254194
24/04/2007,6.485,6.53,6.105,6.395,5.39841,2336260
25/04/2007,6.435,6.62,6.35,6.525,5.508152,1491832
26/04/2007,6.6,6.615,6.375,6.495,5.482826,1722326
27/04/2007,6.41,6.45,6.31,6.34,5.351982,1183184
30/04/2007,6.27,6.465,6.255,6.42,5.419516,971232
02/05/2007,6.485,6.5,6.26,6.35,5.360423,1757576
03/05/2007,6.35,6.415,6.185,6.25,5.276006,2147202
04/05/2007,6.34,6.415,6.25,6.32,5.335098,1835946
07/05/2007,6.4,6.505,6.33,6.505,5.491268,969222
08/05/2007,6.55,6.55,6.375,6.465,5.457501,901738
09/05/2007,6.55,6.675,6.525,6.67,5.630555,2609666
10/05/2007,6.625,6.99,6.625,6.855,5.786725,4490548
11/05/2007,6.79,6.97,6.725,6.82,5.757179,1858570
14/05/2007,6.925,6.97,6.785,6.86,5.790946,1433260
15/05/2007,6.925,7.04,6.75,6.99,5.900687,2429778
16/05/2007,7.025,7.025,6.9,6.915,5.837376,3195580
17/05/2007,6.955,7.225,6.945,7.17,6.052635,3734738
18/05/2007,7.25,7.36,7.15,7.215,6.090623,8087036
21/05/2007,7.495,7.495,7.15,7.22,6.094842,5233200
22/05/2007,7.215,7.22,7.06,7.1,5.993544,2191300
23/05/2007,7.085,7.24,7.085,7.145,6.031531,2082196
24/05/2007,7.1,7.185,7.095,7.165,6.048415,1368862
25/05/2007,7.175,7.325,7.08,7.275,6.141273,1476544
28/05/2007,7.225,7.395,7.22,7.38,6.22991,2153092
29/05/2007,7.4,7.7,7.35,7.685,6.487379,3726574
30/05/2007,7.6,7.6,7.29,7.385,6.234131,13319802
31/05/2007,7.465,7.56,7.34,7.4,6.246792,3428610
