Date,Open,High,Low,Close,Adj Close,Volume
04/01/2000,3.3,3.3625,3.2775,3.3025,1.116896,8157352
05/01/2000,3.2875,3.31,3.265,3.2975,1.115205,7532596
06/01/2000,3.2975,3.2975,3.2975,3.2975,1.115205,0
07/01/2000,3.325,3.37,3.2875,3.325,1.124506,10259804
10/01/2000,3.3625,3.37,3.2925,3.3,1.116051,7806188
11/01/2000,3.325,3.3475,3.27,3.28,1.109287,9982020
12/01/2000,3.2625,3.275,3.255,3.2625,1.103368,8649216
13/01/2000,3.2525,3.285,3.235,3.235,1.094067,10110040
14/01/2000,3.225,3.23,3.14,3.16,1.068702,23989912
17/01/2000,3.175,3.1825,3.0175,3.075,1.039956,11257776
18/01/2000,3.0425,3.0975,2.9675,3.005,1.016283,16501904
19/01/2000,3,3.0775,2.9925,3.065,1.036574,11402864
20/01/2000,3.0775,3.0925,3.005,3.05,1.031501,10579680
21/01/2000,3.005,3.075,3,3.0375,1.027274,20020284
24/01/2000,3.0625,3.0625,3.0175,3.0425,1.028965,7422308
25/01/2000,3.0375,3.0925,3.0025,3.07,1.038265,10666300
26/01/2000,3.075,3.09,2.985,3,1.014591,12478868
27/01/2000,3.0025,3.025,2.9875,3,1.014591,9209324
28/01/2000,3.0075,3.02,2.9525,2.975,1.006136,11285132
31/01/2000,2.975,3,2.9,2.955,0.999372,9640120
01/02/2000,2.93,2.98,2.9225,2.975,1.006136,6844140
02/02/2000,2.9875,3.065,2.95,3.025,1.023046,8487268
03/02/2000,3.0125,3.0725,2.99,3.065,1.036574,6747040
04/02/2000,3.0275,3.115,3.025,3.0575,1.034037,6942700
07/02/2000,3.0575,3.07,2.9925,3.03,1.024737,6470332
08/02/2000,3.0125,3.045,3.0025,3.0125,1.018819,6597996
09/02/2000,3.0125,3.025,2.93,2.9625,1.001908,15738676
10/02/2000,2.925,2.9725,2.9125,2.935,0.992609,18558516
11/02/2000,2.9125,3.0275,2.89,3,1.014591,25995180
14/02/2000,2.9775,3.04,2.925,2.975,1.006136,15022740
15/02/2000,2.975,2.985,2.925,2.965,1.002755,12380096
16/02/2000,2.9525,2.9975,2.9275,2.985,1.009519,9038132
17/02/2000,2.9925,3.0375,2.9875,3.0075,1.017128,7181336
18/02/2000,3.025,3.0625,3,3.045,1.02981,11270724
21/02/2000,3.0475,3.1125,3.0375,3.105,1.050102,9296680
