Date,Close,Open,High,Low,Volume,% var.
02/01/2012,"1,179","1,173","1,179","1,160","1,56M","2,34%"
03/01/2012,"1,193","1,186","1,197","1,166","2,29M","1,19%"
04/01/2012,"1,197","1,196","1,210","1,186","2,31M","0,34%"
05/01/2012,"1,158","1,195","1,197","1,152","2,91M","-3,26%"
06/01/2012,"1,168","1,152","1,181","1,152","4,06M","0,86%"
09/01/2012,"1,155","1,166","1,186","1,152","2,68M","-1,11%"
10/01/2012,"1,175","1,166","1,197","1,163","3,42M","1,73%"
11/01/2012,"1,224","1,170","1,224","1,170","7,57M","4,17%"
12/01/2012,"1,221","1,225","1,231","1,215","4,87M","-0,25%"
13/01/2012,"1,248","1,237","1,248","1,191","6,33M","2,21%"
16/01/2012,"1,242","1,239","1,262","1,238","2,16M","-0,48%"
17/01/2012,"1,248","1,261","1,261","1,227","3,14M","0,48%"
18/01/2012,"1,236","1,246","1,249","1,215","4,53M","-0,96%"
19/01/2012,"1,314","1,225","1,314","1,225","7,07M","6,31%"
20/01/2012,"1,334","1,290","1,345","1,290","5,68M","1,52%"
23/01/2012,"1,354","1,334","1,381","1,334","5,38M","1,50%"
24/01/2012,"1,357","1,357","1,357","1,334","2,23M","0,22%"
25/01/2012,"1,364","1,374","1,374","1,336","4,42M","0,52%"
26/01/2012,"1,424","1,377","1,425","1,364","6,66M","4,40%"
27/01/2012,"1,401","1,423","1,436","1,395","3,98M","-1,62%"
30/01/2012,"1,411","1,384","1,413","1,381","4,68M","0,71%"
31/01/2012,"1,410","1,423","1,426","1,390","6,44M","-0,07%"
01/02/2012,"1,452","1,417","1,459","1,414","4,92M","2,98%"
02/02/2012,"1,463","1,452","1,477","1,452","3,71M","0,76%"
03/02/2012,"1,511","1,466","1,518","1,462","6,10M","3,28%"
06/02/2012,"1,489","1,515","1,515","1,469","5,56M","-1,46%"
07/02/2012,"1,454","1,480","1,480","1,436","6,63M","-2,35%"
08/02/2012,"1,448","1,456","1,469","1,445","3,28M","-0,41%"
09/02/2012,"1,423","1,450","1,464","1,421","4,68M","-1,73%"
10/02/2012,"1,410","1,420","1,424","1,399","3,60M","-0,91%"
13/02/2012,"1,385","1,419","1,419","1,380","4,45M","-1,77%"
14/02/2012,"1,368","1,376","1,402","1,362","3,61M","-1,23%"
15/02/2012,"1,374","1,377","1,393","1,350","4,59M","0,44%"
16/02/2012,"1,365","1,370","1,370","1,344","4,18M","-0,66%"
17/02/2012,"1,367","1,370","1,385","1,366","6,78M","0,15%"
20/02/2012,"1,381","1,368","1,385","1,359","6,02M","1,02%"
21/02/2012,"1,337","1,375","1,377","1,324","5,55M","-3,19%"
22/02/2012,"1,297","1,344","1,348","1,292","8,09M","-2,99%"
23/02/2012,"1,270","1,291","1,297","1,251","7,27M","-2,08%"
24/02/2012,"1,253","1,274","1,283","1,252","2,93M","-1,34%"
27/02/2012,"1,276","1,251","1,276","1,230","5,01M","1,84%"
28/02/2012,"1,274","1,276","1,281","1,256","3,34M","-0,16%"
29/02/2012,"1,303","1,291","1,330","1,291","6,14M","2,28%"
01/03/2012,"1,289","1,307","1,324","1,278","5,45M","-1,07%"
02/03/2012,"1,324","1,287","1,340","1,287","4,37M","2,72%"
05/03/2012,"1,304","1,305","1,322","1,285","6,19M","-1,51%"
06/03/2012,"1,270","1,252","1,304","1,252","6,57M","-2,61%"
07/03/2012,"1,291","1,260","1,297","1,260","10,93M","1,65%"
08/03/2012,"1,304","1,292","1,313","1,278","3,89M","1,01%"
09/03/2012,"1,278","1,304","1,305","1,271","4,02M","-1,99%"
12/03/2012,"1,274","1,281","1,293","1,264","5,97M","-0,31%"
13/03/2012,"1,350","1,311","1,360","1,297","8,55M","5,97%"
14/03/2012,"1,376","1,364","1,397","1,358","5,89M","1,93%"
15/03/2012,"1,397","1,379","1,397","1,352","7,18M","1,53%"
16/03/2012,"1,397","1,397","1,423","1,387","8,39M","0,00%"
19/03/2012,"1,398","1,409","1,409","1,384","2,72M","0,07%"
20/03/2012,"1,417","1,401","1,417","1,379","3,01M","1,36%"
21/03/2012,"1,375","1,420","1,427","1,372","4,86M","-2,96%"
22/03/2012,"1,422","1,381","1,429","1,354","6,19M","3,42%"
23/03/2012,"1,443","1,421","1,462","1,407","5,92M","1,48%"
26/03/2012,"1,438","1,456","1,456","1,410","2,83M","-0,35%"
27/03/2012,"1,410","1,454","1,462","1,410","7,07M","-1,95%"
28/03/2012,"1,403","1,398","1,423","1,395","4,59M","-0,50%"
29/03/2012,"1,420","1,392","1,420","1,384","5,55M","1,21%"
30/03/2012,"1,429","1,417","1,462","1,415","5,93M","0,63%"
02/04/2012,"1,464","1,432","1,464","1,424","5,13M","2,45%"
03/04/2012,"1,430","1,458","1,468","1,430","3,29M","-2,32%"
04/04/2012,"1,438","1,438","1,442","1,410","4,22M","0,56%"
05/04/2012,"1,448","1,441","1,467","1,415","4,02M","0,70%"
10/04/2012,"1,392","1,410","1,432","1,392","4,76M","-3,87%"
11/04/2012,"1,408","1,382","1,414","1,379","5,10M","1,15%"
12/04/2012,"1,428","1,417","1,440","1,400","6,60M","1,42%"
13/04/2012,"1,407","1,420","1,443","1,399","4,88M","-1,47%"
16/04/2012,"1,373","1,399","1,411","1,370","2,96M","-2,42%"
17/04/2012,"1,403","1,372","1,407","1,371","4,16M","2,18%"
18/04/2012,"1,378","1,407","1,414","1,378","3,86M","-1,78%"
19/04/2012,"1,376","1,383","1,400","1,355","5,02M","-0,15%"
20/04/2012,"1,392","1,370","1,394","1,370","3,49M","1,16%"
23/04/2012,"1,325","1,377","1,381","1,306","4,53M","-4,81%"
24/04/2012,"1,368","1,341","1,378","1,336","4,71M","3,25%"
25/04/2012,"1,417","1,370","1,417","1,370","6,45M","3,58%"
26/04/2012,"1,399","1,407","1,416","1,387","3,70M","-1,27%"
27/04/2012,"1,443","1,383","1,443","1,380","4,27M","3,15%"
30/04/2012,"1,436","1,446","1,455","1,423","3,42M","-0,49%"
02/05/2012,"1,471","1,454","1,471","1,440","8,34M","2,44%"
03/05/2012,"1,456","1,466","1,471","1,434","5,15M","-1,02%"
04/05/2012,"1,443","1,460","1,460","1,425","3,32M","-0,89%"
07/05/2012,"1,492","1,424","1,495","1,397","3,01M","3,40%"
08/05/2012,"1,392","1,496","1,496","1,379","8,32M","-6,70%"
09/05/2012,"1,357","1,397","1,408","1,350","5,37M","-2,51%"
10/05/2012,"1,350","1,442","1,442","1,329","6,52M","-0,52%"
11/05/2012,"1,362","1,349","1,383","1,311","4,19M","0,89%"
14/05/2012,"1,324","1,357","1,369","1,312","4,44M","-2,79%"
15/05/2012,"1,240","1,303","1,311","1,228","6,39M","-6,34%"
16/05/2012,"1,278","1,231","1,285","1,229","6,71M","3,06%"
17/05/2012,"1,178","1,278","1,278","1,159","5,38M","-7,82%"
18/05/2012,"1,184","1,158","1,212","1,152","6,65M","0,51%"
21/05/2012,"1,188","1,178","1,208","1,164","3,00M","0,34%"
22/05/2012,"1,205","1,195","1,217","1,188","2,90M","1,43%"
23/05/2012,"1,160","1,201","1,211","1,160","3,00M","-3,73%"
24/05/2012,"1,188","1,178","1,194","1,154","2,97M","2,41%"
25/05/2012,"1,172","1,188","1,218","1,163","3,31M","-1,35%"
28/05/2012,"1,133","1,195","1,195","1,124","4,31M","-3,33%"
29/05/2012,"1,175","1,135","1,185","1,135","4,60M","3,71%"
30/05/2012,"1,164","1,164","1,198","1,156","4,77M","-0,94%"
31/05/2012,"1,172","1,154","1,172","1,139","5,11M","0,69%"
01/06/2012,"1,176","1,141","1,176","1,132","4,97M","0,34%"
04/06/2012,"1,178","1,143","1,198","1,143","1,64M","0,17%"
05/06/2012,"1,184","1,168","1,201","1,168","1,59M","0,51%"
06/06/2012,"1,179","1,180","1,199","1,162","5,06M","-0,42%"
07/06/2012,"1,188","1,166","1,198","1,162","3,48M","0,76%"
08/06/2012,"1,193","1,188","1,199","1,175","2,78M","0,42%"
11/06/2012,"1,189","1,205","1,286","1,189","4,62M","-0,34%"
12/06/2012,"1,176","1,197","1,205","1,172","3,69M","-1,09%"
13/06/2012,"1,165","1,167","1,191","1,146","3,37M","-0,94%"
14/06/2012,"1,172","1,150","1,176","1,139","2,82M","0,60%"
15/06/2012,"1,198","1,187","1,202","1,168","4,67M","2,22%"
18/06/2012,"1,241","1,225","1,244","1,193","2,97M","3,59%"
19/06/2012,"1,258","1,225","1,276","1,225","2,67M","1,37%"
20/06/2012,"1,299","1,274","1,311","1,270","4,29M","3,26%"
21/06/2012,"1,317","1,284","1,330","1,268","3,46M","1,39%"
22/06/2012,"1,285","1,299","1,320","1,284","3,07M","-2,43%"
25/06/2012,"1,272","1,291","1,291","1,264","3,86M","-1,01%"
26/06/2012,"1,270","1,258","1,282","1,258","2,68M","-0,16%"
27/06/2012,"1,291","1,277","1,291","1,261","2,67M","1,65%"
28/06/2012,"1,269","1,281","1,286","1,254","2,44M","-1,70%"
29/06/2012,"1,307","1,311","1,317","1,284","4,57M","2,99%"
02/07/2012,"1,301","1,299","1,315","1,296","3,20M","-0,46%"
03/07/2012,"1,311","1,305","1,332","1,305","2,72M","0,77%"
04/07/2012,"1,319","1,305","1,326","1,305","1,22M","0,61%"
05/07/2012,"1,295","1,310","1,326","1,273","2,62M","-1,82%"
06/07/2012,"1,325","1,301","1,334","1,289","3,43M","2,32%"
09/07/2012,"1,334","1,320","1,338","1,315","2,29M","0,68%"
10/07/2012,"1,338","1,348","1,356","1,327","1,78M","0,30%"
11/07/2012,"1,328","1,329","1,343","1,320","1,87M","-0,75%"
12/07/2012,"1,291","1,324","1,338","1,291","1,88M","-2,79%"
13/07/2012,"1,315","1,289","1,329","1,283","2,35M","1,86%"
16/07/2012,"1,348","1,318","1,354","1,317","2,61M","2,51%"
17/07/2012,"1,316","1,357","1,358","1,304","2,64M","-2,37%"
18/07/2012,"1,315","1,316","1,327","1,304","3,77M","-0,08%"
19/07/2012,"1,350","1,318","1,356","1,318","5,06M","2,66%"
20/07/2012,"1,314","1,337","1,360","1,308","7,07M","-2,67%"
23/07/2012,"1,260","1,291","1,302","1,259","4,29M","-4,11%"
24/07/2012,"1,231","1,297","1,297","1,231","2,58M","-2,30%"
25/07/2012,"1,232","1,220","1,252","1,215","2,55M","0,08%"
26/07/2012,"1,268","1,233","1,281","1,233","4,87M","2,92%"
27/07/2012,"1,268","1,268","1,287","1,245","2,71M","0,00%"
30/07/2012,"1,370","1,284","1,374","1,271","3,22M","8,04%"
31/07/2012,"1,348","1,372","1,372","1,340","1,96M","-1,61%"
01/08/2012,"1,365","1,324","1,372","1,324","1,58M","1,26%"
02/08/2012,"1,308","1,351","1,385","1,308","2,78M","-4,18%"
