Date,Open,High,Low,Close,Adj Close,Volume
04/10/2000,12.4,12.65,12.34,12.53,-0.598203,395452
05/10/2000,12.66,12.68,12.31,12.31,-0.5877,181875
06/10/2000,12.47,12.49,12.25,12.29,-0.586745,215041
09/10/2000,12.38,12.45,12,12.03,-0.574332,372529
10/10/2000,12.11,12.4,12.11,12.15,-0.580061,231400
11/10/2000,12.03,12.27,11.25,11.45,-0.546642,487099
12/10/2000,11.45,11.45,11.45,11.45,-0.546642,0
13/10/2000,10.8,11.48,10.8,11.48,-0.548074,598582
16/10/2000,12.3,12.3,11.6,11.61,-0.554281,310508
17/10/2000,11.7,11.95,11.5,11.68,-0.557623,134228
18/10/2000,11.48,11.75,11.29,11.5,-0.549029,330648
19/10/2000,11.4,11.92,11.4,11.7,-0.558578,471002
20/10/2000,12,12.18,11.75,11.99,-0.572423,804353
23/10/2000,11.75,11.9,11.67,11.88,-0.567171,256272
24/10/2000,11.98,12.48,11.76,12.4,-0.591997,384980
25/10/2000,12.12,12.25,12.1,12.2,-0.582448,565907
26/10/2000,11.85,12.15,11.8,11.85,-0.565739,176320
27/10/2000,11.85,12.35,11.85,12.04,-0.57481,309669
30/10/2000,12.01,12.35,11.7,12.34,-0.589132,282166
31/10/2000,12.34,12.34,12.34,12.34,-0.589132,0
01/11/2000,12.34,12.34,12.34,12.34,-0.589132,0
02/11/2000,11.85,12,11.36,11.36,-0.542346,650403
03/11/2000,11.42,11.88,11.42,11.81,-0.563829,846636
06/11/2000,11.8,12,11.75,11.9,-0.568126,321532
07/11/2000,11.75,11.9,11.75,11.81,-0.563829,187031
08/11/2000,11.9,11.95,11.8,11.83,-0.564784,153941
09/11/2000,11.7,11.92,11.65,11.91,-0.568604,257138
10/11/2000,11.82,11.9,11.55,11.75,-0.560965,794362
13/11/2000,11.52,11.7,11.01,11.45,-0.546642,761313
14/11/2000,11.32,11.58,11.23,11.45,-0.546642,1330541
15/11/2000,11.56,11.56,10.94,11.07,-0.5285,823120
16/11/2000,11.02,11.2,10.73,10.91,-0.520862,536136
17/11/2000,10.6,10.8,10.25,10.26,-0.48983,854775
20/11/2000,10.47,10.64,10.02,10.1,-0.482191,264277
21/11/2000,10,10.36,9.53,9.73,-0.464527,779240
22/11/2000,9.59,9.68,8.5,8.61,-0.411056,729689
23/11/2000,8.76,9.18,8.3,9.18,-0.438269,1440583
24/11/2000,9.25,10.1,9.24,10.05,-0.479804,793694
27/11/2000,10.5,10.68,10.25,10.3,-0.491739,535284
28/11/2000,10.1,10.14,9.53,9.6,-0.45832,427095
29/11/2000,9.41,9.51,9.05,9.48,-0.452591,863476
30/11/2000,9.46,9.46,9.1,9.21,-0.439701,533644
01/12/2000,9.27,9.43,9.18,9.27,-0.442566,597916
04/12/2000,9.27,9.5,8.81,8.81,-0.420604,1160712
05/12/2000,9.1,9.4,9.01,9.37,-0.44734,657755
06/12/2000,9.37,9.37,9.37,9.37,-0.44734,0
07/12/2000,9.15,9.5,9.05,9.2,-0.439224,846366
08/12/2000,9.2,9.2,9.2,9.2,-0.439224,0
11/12/2000,9.74,10.2,9.65,10,-0.477417,1112723
12/12/2000,10.14,10.7,10,10.13,-0.483623,1046119
13/12/2000,10.6,10.61,10.05,10.25,-0.489352,418129
14/12/2000,10.16,10.45,10.16,10.21,-0.487443,469290
15/12/2000,10.15,10.15,9.75,9.83,-0.469301,464817
18/12/2000,9.9,10.39,9.9,10.15,-0.484578,542693
19/12/2000,10.05,10.5,10.05,10.5,-0.501288,455078
20/12/2000,10.01,10.23,9.61,9.7,-0.463094,562591
21/12/2000,9.55,9.96,9.51,9.95,-0.47503,1089700
22/12/2000,10.02,10.21,10.01,10.05,-0.479804,399845
25/12/2000,10.05,10.05,10.05,10.05,-0.479804,0
26/12/2000,10.05,10.05,10.05,10.05,-0.479804,0
27/12/2000,9.87,10.19,9.87,10.03,-0.478849,467080
28/12/2000,9.92,10.14,9.63,9.95,-0.47503,858137
29/12/2000,10,10.15,9.9,10.05,-0.479804,817589
01/01/2001,10.05,10.05,10.05,10.05,-0.479804,0
02/01/2001,10.15,10.2,9.81,9.95,-0.47503,199855
03/01/2001,9.5,9.68,9.15,9.48,-0.452591,1077770
04/01/2001,10.74,10.74,9.71,9.78,-0.466914,1171146
05/01/2001,9.62,9.91,9.36,9.45,-0.451159,482588
08/01/2001,9.45,9.73,9.32,9.32,-0.444953,424827
09/01/2001,9.5,9.6,9.34,9.34,-0.445907,492102
10/01/2001,9.49,9.58,9.37,9.53,-0.454978,192665
11/01/2001,9.7,9.94,9.5,9.94,-0.474552,420096
12/01/2001,10.01,10.3,9.97,10.27,-0.490307,978394
15/01/2001,10.42,10.45,10.11,10.4,-0.496513,286232
16/01/2001,10.34,10.36,10.14,10.15,-0.484578,257917
17/01/2001,10.03,10.8,10.03,10.74,-0.512746,818655
18/01/2001,10.7,11.24,10.53,11.16,-0.532797,987826
19/01/2001,11.31,11.5,11.11,11.12,-0.530888,1293537
22/01/2001,11.27,11.4,11.05,11.25,-0.537094,694721
23/01/2001,11.16,11.3,10.85,11.06,-0.528023,831626
24/01/2001,11.06,11.06,11.06,11.06,-0.528023,0
25/01/2001,11.25,11.36,11.06,11.32,-0.540436,415766
26/01/2001,11.32,11.32,11.32,11.32,-0.540436,0
29/01/2001,11.49,11.49,10.95,11.04,-0.527068,533490
30/01/2001,11.25,11.39,11.05,11.11,-0.53041,572812
31/01/2001,11.16,11.28,11.05,11.13,-0.531365,667227
01/02/2001,11.15,11.18,10.97,11,-0.525159,368019
02/02/2001,11.1,11.16,10.55,10.55,-0.503675,516970
05/02/2001,10.55,10.74,10.54,10.62,-0.507017,301493
06/02/2001,10.67,10.93,10.58,10.76,-0.513701,214084
07/02/2001,10.65,10.74,10.25,10.35,-0.494126,407193
08/02/2001,10.35,10.54,10.18,10.32,-0.492694,459574
09/02/2001,10.3,10.39,10.13,10.15,-0.484578,688028
12/02/2001,10.29,10.62,10.18,10.62,-0.507017,458056
13/02/2001,10.7,10.97,10.62,10.92,-0.521339,523828
14/02/2001,10.88,10.88,10.43,10.64,-0.507972,347887
15/02/2001,10.78,10.88,10.56,10.6,-0.506062,743525
16/02/2001,10.5,10.6,10.4,10.52,-0.502243,516673
19/02/2001,10.5,10.65,10.45,10.54,-0.503197,223488
20/02/2001,10.55,10.68,10.51,10.54,-0.503197,323697
21/02/2001,10.42,10.6,10.11,10.23,-0.488397,532323
22/02/2001,10.22,10.37,10.13,10.2,-0.486965,599898
23/02/2001,10.25,10.4,9.86,9.96,-0.475507,680881
26/02/2001,10.07,10.5,10.07,10.45,-0.498901,552948
27/02/2001,10.55,10.55,10.13,10.23,-0.488397,302866
28/02/2001,10.02,10.45,10.02,10.2,-0.486965,595189
01/03/2001,10.2,10.25,10.05,10.07,-0.480759,255698
02/03/2001,10.04,10.22,10.01,10.13,-0.483623,347697
05/03/2001,10.25,10.71,10.15,10.44,-0.498423,1103817
06/03/2001,10.7,10.94,10.5,10.94,-0.522294,1529279
07/03/2001,10.92,11.08,10.72,10.84,-0.51752,668460
08/03/2001,10.84,10.93,10.76,10.8,-0.51561,376401
09/03/2001,10.7,11.07,10.7,11.04,-0.527068,901563
12/03/2001,11.01,11.09,10.78,10.8,-0.51561,627473
13/03/2001,10.78,10.89,10.56,10.65,-0.508449,542210
14/03/2001,10.65,10.65,10.65,10.65,-0.508449,0
15/03/2001,10.42,10.62,10.42,10.6,-0.506062,551358
16/03/2001,10.48,10.6,10.34,10.39,-0.496036,322414
19/03/2001,10.29,10.64,10.29,10.35,-0.494126,384976
20/03/2001,10.45,10.6,10.45,10.51,-0.501765,336021
21/03/2001,10.36,10.38,10,10.1,-0.482191,663556
22/03/2001,10.05,10.21,9.75,9.88,-0.471688,1742983
23/03/2001,10.14,10.49,10.1,10.49,-0.50081,672812
26/03/2001,10.6,10.75,10.22,10.75,-0.513223,453786
27/03/2001,10.74,10.74,10.3,10.56,-0.504152,2017397
28/03/2001,10.61,10.61,10.35,10.45,-0.498901,522995
29/03/2001,10.26,10.49,10.18,10.48,-0.500333,756008
30/03/2001,10.28,10.5,10.28,10.45,-0.498901,296328
02/04/2001,10.36,10.45,10.22,10.28,-0.490785,348320
03/04/2001,10.22,10.25,9.91,10,-0.477417,690504
04/04/2001,9.93,10.19,9.58,10.19,-0.486488,724167
05/04/2001,10.2,10.29,9.95,10.27,-0.490307,311800
06/04/2001,10.5,10.5,10.02,10.1,-0.482191,563168
09/04/2001,10.1,10.3,10.04,10.21,-0.487443,308982
10/04/2001,10.21,10.56,10.21,10.49,-0.50081,629066
11/04/2001,10.47,10.57,10.27,10.29,-0.491262,718615
12/04/2001,10.31,10.46,10.23,10.29,-0.491262,122977
13/04/2001,10.29,10.29,10.29,10.29,-0.491262,0
16/04/2001,10.29,10.29,10.29,10.29,-0.491262,0
17/04/2001,10.2,10.35,9.97,10.22,-0.48792,702651
18/04/2001,10.3,10.75,10.24,10.75,-0.513223,884790
19/04/2001,10.83,10.88,10.45,10.71,-0.511313,1016322
