Date,Open,High,Low,Close,Adj Close,Volume
25/05/2001,3.6,3.676,3.58,3.602,-0.127628,50448300
28/05/2001,3.56,3.604,3.544,3.58,-0.126848,26118945
29/05/2001,3.562,3.626,3.562,3.614,-0.128053,26910070
30/05/2001,3.606,3.648,3.602,3.62,-0.128266,48229995
31/05/2001,3.62,3.676,3.61,3.67,-0.130037,24806710
01/06/2001,3.664,3.696,3.64,3.66,-0.129683,20779305
04/06/2001,3.642,3.804,3.642,3.8,-0.134643,35163235
05/06/2001,3.802,3.866,3.774,3.822,-0.135423,35137060
06/06/2001,3.846,3.87,3.784,3.83,-0.135706,19954860
07/06/2001,3.85,3.85,3.79,3.8,-0.134643,16581770
08/06/2001,3.8,3.8,3.712,3.72,-0.131809,17833390
11/06/2001,3.74,3.766,3.724,3.74,-0.132518,12000295
12/06/2001,3.73,3.768,3.728,3.768,-0.13351,16000135
13/06/2001,3.762,3.774,3.728,3.76,-0.133226,13224800
14/06/2001,3.77,3.778,3.64,3.646,-0.129187,17218495
15/06/2001,3.64,3.64,3.59,3.6,-0.127557,15346760
18/06/2001,3.58,3.608,3.57,3.596,-0.127415,14162555
19/06/2001,3.58,3.62,3.572,3.62,-0.128266,6891670
20/06/2001,3.606,3.62,3.59,3.602,-0.127628,12209195
21/06/2001,3.612,3.71,3.6,3.708,-0.131384,12001190
22/06/2001,3.682,3.748,3.68,3.746,-0.13273,10087045
25/06/2001,3.7,3.792,3.7,3.79,-0.134289,7951105
26/06/2001,3.75,3.78,3.73,3.758,-0.133155,13044720
27/06/2001,3.74,3.76,3.682,3.702,-0.131171,14201340
28/06/2001,3.698,3.7,3.62,3.694,-0.130888,9833400
29/06/2001,3.7,3.804,3.642,3.77,-0.13358,26861525
02/07/2001,3.758,3.84,3.728,3.82,-0.135352,8634625
03/07/2001,3.772,3.822,3.772,3.82,-0.135352,20450495
04/07/2001,3.82,3.83,3.766,3.796,-0.134502,4993255
05/07/2001,3.796,3.81,3.73,3.73,-0.132163,16127145
06/07/2001,3.76,3.76,3.7,3.7,-0.1311,6726610
09/07/2001,3.7,3.77,3.656,3.77,-0.13358,5502785
10/07/2001,3.71,3.796,3.708,3.742,-0.132588,4768835
11/07/2001,3.738,3.738,3.666,3.686,-0.130604,5675050
12/07/2001,3.702,3.738,3.68,3.7,-0.1311,6202440
