Date,Open,High,Low,Close,Adj Close,Volume
04/01/2000,11,11.5,10.77,11.24,-12.997465,201679
05/01/2000,10.91,11.44,10.8,10.8,-12.488669,165066
06/01/2000,10.8,10.8,10.8,10.8,-12.488669,0
07/01/2000,11.29,11.29,10.9,11.15,-12.893389,238820
10/01/2000,11.4,11.41,11.02,11.27,-13.032158,272760
11/01/2000,11.2,11.4,11.06,11.3,-13.066849,244964
12/01/2000,11.35,11.89,11.17,11.78,-13.621902,333876
13/01/2000,11.9,12.05,11.5,11.89,-13.749102,417871
14/01/2000,12,12.1,11.81,12.05,-13.934115,352074
17/01/2000,12.2,12.2,11.8,11.89,-13.749102,403792
18/01/2000,11.99,11.99,11.53,11.95,-13.81848,298924
19/01/2000,11.98,12.06,11.75,11.94,-13.806918,183906
20/01/2000,11.8,12.49,11.8,12.42,-14.36197,510666
21/01/2000,12.11,12.37,12.11,12.24,-14.153818,385454
24/01/2000,12.16,12.42,11.9,11.99,-13.864735,345072
25/01/2000,11.7,12.46,11.7,12.45,-14.396658,295537
26/01/2000,12.45,12.45,12.07,12.45,-14.396658,244913
27/01/2000,12.24,12.3,12.02,12.02,-13.899425,297793
28/01/2000,12.04,12.19,11.32,11.32,-13.089973,389532
31/01/2000,11.49,11.78,11.18,11.63,-13.448446,165635
01/02/2000,11.66,11.85,11.35,11.7,-13.529389,365646
02/02/2000,11.75,11.75,11.45,11.6,-13.413754,231850
03/02/2000,11.6,12.18,11.35,12,-13.876296,270319
04/02/2000,12.06,12.3,12,12.23,-14.14226,514744
07/02/2000,12,12.19,11.5,11.5,-13.298119,450812
08/02/2000,11.55,11.7,11.16,11.39,-13.170918,474401
09/02/2000,11.2,11.37,11,11.04,-12.766192,609021
10/02/2000,11.1,11.64,11.1,11.6,-13.413754,851604
11/02/2000,11.6,11.6,10.99,11,-12.719936,1270929
14/02/2000,10.98,11.05,10.45,10.5,-12.141762,738823
15/02/2000,10.3,10.7,10.16,10.5,-12.141762,1061320
16/02/2000,10.6,11.08,10.55,10.88,-12.581179,468311
17/02/2000,10.97,11.43,10.95,11.3,-13.066849,545313
18/02/2000,11.31,11.79,11.21,11.58,-13.390626,1758274
21/02/2000,11.68,11.68,11.26,11.58,-13.390626,331803
22/02/2000,11.41,11.76,11.41,11.61,-13.425318,903244
23/02/2000,11.77,12.27,11.51,12.18,-14.084439,1479209
24/02/2000,12.24,12.24,11.82,11.94,-13.806918,518389
25/02/2000,11.96,12.16,11.81,12,-13.876296,310667
28/02/2000,12,12.05,11.8,12.05,-13.934115,508427
29/02/2000,12.09,12.36,11.95,12.1,-13.991935,494597
01/03/2000,12.25,12.63,11.8,12.05,-13.934115,733936
02/03/2000,11.98,12.3,11.92,12.29,-14.211639,465615
03/03/2000,12.35,12.68,11.9,12.49,-14.442913,1002390
06/03/2000,12.65,12.65,12.32,12.57,-14.535424,262451
07/03/2000,12.6,12.8,12.41,12.53,-14.489166,588832
08/03/2000,12.3,12.6,12.25,12.49,-14.442913,161759
09/03/2000,12.34,12.49,12,12.3,-14.223207,277628
10/03/2000,12.14,12.41,11.81,11.92,-13.783788,240936
13/03/2000,11.92,11.92,11.92,11.92,-13.783788,0
14/03/2000,11.57,11.9,11.57,11.87,-13.725971,515695
15/03/2000,11.6,11.79,11.57,11.61,-13.425318,193866
16/03/2000,11.8,11.89,11.75,11.86,-13.714408,391841
17/03/2000,11.9,12.23,11.8,12.2,-14.107569,320642
20/03/2000,12.19,12.5,12.07,12.5,-14.454476,435068
21/03/2000,12.45,12.57,12.2,12.49,-14.442913,377500
22/03/2000,12.55,12.59,12.1,12.3,-14.223207,249009
23/03/2000,12.13,12.54,11.9,12.5,-14.454476,499491
24/03/2000,12.54,12.63,12.3,12.58,-14.546989,762752
27/03/2000,12.65,12.75,12.5,12.64,-14.616368,410982
28/03/2000,12.8,13.18,12.64,13,-15.032656,1025225
29/03/2000,13.15,13.16,13.02,13.09,-15.136727,540787
30/03/2000,13.1,13.58,13.1,13.45,-15.553015,940447
31/03/2000,13.3,13.94,12.91,13.1,-15.148292,881202
03/04/2000,13.5,13.74,13.2,13.74,-15.888358,585180
04/04/2000,13.7,13.8,13.32,13.55,-15.668653,647555
05/04/2000,13.5,13.53,12.66,12.81,-14.812948,527423
06/04/2000,13.06,13.2,12.92,13.09,-15.136727,401484
07/04/2000,13.18,13.18,12.91,13,-15.032656,413275
10/04/2000,13.2,13.4,13.01,13.07,-15.113599,277603
11/04/2000,13.25,13.35,12.91,12.93,-14.95171,429685
12/04/2000,13,13.29,13,13.06,-15.102036,401897
13/04/2000,13.01,13.43,13.01,13.4,-15.495197,322438
14/04/2000,13.35,13.45,13.21,13.21,-15.275492,253223
17/04/2000,12.7,13.09,12.68,13.07,-15.113599,345099
18/04/2000,13.1,13.11,12.7,12.95,-14.974834,405292
19/04/2000,13.01,13.24,13.01,13.24,-15.310182,310583
20/04/2000,13.01,13.3,13.01,13.3,-15.379564,411260
21/04/2000,13.3,13.3,13.3,13.3,-15.379564,0
24/04/2000,13.3,13.3,13.3,13.3,-15.379564,0
