Date,Open,High,Low,Close,Adj Close,Volume
01/07/2014,8.609279,9.071907,8.591655,8.88245,6.021556,2756053
02/07/2014,8.886856,9.15562,8.829578,9.111561,6.176874,3859368
03/07/2014,9.120373,9.384731,9.063095,9.208492,6.242585,8637327
04/07/2014,9.384731,9.384731,9.080719,9.305424,6.308296,8488663
07/07/2014,9.252552,9.270176,9.164432,9.24374,6.26648,1989576
08/07/2014,9.239334,9.239334,9.010223,9.076313,6.152979,921233
09/07/2014,9.093937,9.093937,8.952945,8.988193,6.09324,2403955
10/07/2014,9.014629,9.032253,8.811954,8.811954,5.973765,307960
11/07/2014,9.102749,9.102749,8.811954,8.811954,5.973765,139579
14/07/2014,8.930916,8.935322,8.715023,8.856014,6.003635,1275836
15/07/2014,8.900074,8.900074,8.741459,8.811954,5.973765,239095
16/07/2014,8.803142,8.856014,8.803142,8.856014,6.003635,294746
17/07/2014,8.811954,8.856014,8.810192,8.811954,5.973765,151327
18/07/2014,8.847202,8.847202,8.732647,8.767894,5.943895,243449
21/07/2014,8.829578,8.83839,8.733528,8.811954,5.973765,129990
22/07/2014,8.811954,8.820766,8.803142,8.811954,5.973765,181931
23/07/2014,8.829578,8.829578,8.734409,8.811954,5.973765,142280
24/07/2014,8.820766,8.829578,8.811954,8.829578,5.985713,68292
25/07/2014,8.811954,8.820766,8.803142,8.811954,5.973765,230500
28/07/2014,8.803142,8.811954,8.737934,8.811954,5.973765,340346
29/07/2014,8.803142,8.829578,8.733528,8.803142,5.967791,169567
30/07/2014,8.803142,8.811954,8.723835,8.803142,5.967791,180477
31/07/2014,8.767894,8.807548,8.706211,8.706211,5.902081,292834
01/08/2014,8.767894,8.767894,8.371356,8.512348,5.770658,610302
04/08/2014,8.626903,8.723835,8.371356,8.415416,5.704946,355472
05/08/2014,8.089374,8.36695,8.089374,8.213622,5.568147,784981
06/08/2014,8.208335,8.314079,8.106998,8.136958,5.516175,415885
07/08/2014,8.144008,8.4771,8.142246,8.292049,5.621314,991053
08/08/2014,8.252395,8.512348,8.018878,8.150176,5.525135,681700
11/08/2014,8.155464,8.263851,8.151058,8.195117,5.555602,292196
12/08/2014,8.195117,8.635715,8.156345,8.234771,5.582485,488461
13/08/2014,8.230365,8.489437,8.036502,8.084968,5.48093,586445
14/08/2014,8.070869,8.467407,8.018878,8.43304,5.716894,296963
15/08/2014,8.180137,8.548477,8.041789,8.283237,5.61534,471478
18/08/2014,8.265613,8.362544,8.133434,8.195117,5.555602,962047
19/08/2014,8.221553,8.283237,8.151058,8.283237,5.61534,369155
20/08/2014,8.199523,8.450664,8.170444,8.195117,5.555602,362067
21/08/2014,8.169563,8.283237,8.169563,8.178375,5.544251,142429
22/08/2014,8.181899,8.318485,8.178375,8.283237,5.61534,375786
25/08/2014,8.36695,8.600467,8.222434,8.600467,5.830396,441343
26/08/2014,8.490318,8.596061,8.329059,8.459476,5.734814,182346
27/08/2014,8.565219,8.635715,8.403079,8.626903,5.848315,268332
28/08/2014,8.506179,8.722953,8.476219,8.722953,5.913431,194735
29/08/2014,8.704448,8.810192,8.604873,8.806667,5.970182,119528
01/09/2014,8.776706,8.799617,8.626903,8.723835,5.914028,79729
02/09/2014,8.798736,8.803142,8.674488,8.798736,5.964804,1268644
03/09/2014,8.811954,8.811954,8.723835,8.723835,5.914028,422872
04/09/2014,8.380168,8.900074,8.380168,8.900074,6.033504,1043593
05/09/2014,8.891262,9.027847,8.820766,8.891262,6.02753,969640
08/09/2014,8.900074,8.970569,8.785518,8.900074,6.033504,384281
09/09/2014,8.979381,8.979381,8.767894,8.767894,5.943895,943700
10/09/2014,8.811954,8.811954,8.592536,8.670963,5.878186,153972
11/09/2014,8.688587,8.811954,8.644527,8.644527,5.860265,110847
12/09/2014,8.679775,8.80138,8.645408,8.739696,5.924781,90608
15/09/2014,8.606636,8.692993,8.591655,8.591655,5.824421,146423
16/09/2014,8.591655,8.767013,8.547596,8.547596,5.794553,86215
17/09/2014,8.635715,8.678894,8.547596,8.635715,5.85429,409407
18/09/2014,8.75732,8.829578,8.547596,8.829578,5.985713,381427
19/09/2014,8.781112,9.076313,8.781112,9.076313,6.152979,622429
22/09/2014,8.811954,8.944133,8.745864,8.856014,6.003635,444838
23/09/2014,8.811954,8.856014,8.660389,8.754676,5.934936,270830
24/09/2014,8.662151,8.79433,8.662151,8.741459,5.925976,180284
25/09/2014,8.759082,8.811954,8.682418,8.723835,5.914028,349514
26/09/2014,8.809311,8.809311,8.643646,8.643646,5.859667,299799
29/09/2014,8.74234,8.793449,8.642765,8.692993,5.893121,368495
30/09/2014,8.715023,8.856014,8.67625,8.856014,6.003635,198826
01/10/2014,8.88245,8.88245,8.700042,8.723835,5.914028,2874220
02/10/2014,8.723835,8.73529,8.635715,8.686824,5.888938,600874
03/10/2014,8.900074,8.939727,8.678894,8.820766,5.97974,961976
06/10/2014,8.88245,8.88245,8.771419,8.83839,5.991687,293525
07/10/2014,8.873638,8.873638,8.655101,8.723835,5.914028,162054
08/10/2014,8.79433,8.79433,8.644527,8.644527,5.860265,536961
09/10/2014,8.759082,8.847202,8.729122,8.776706,5.94987,605463
10/10/2014,8.810192,8.810192,8.644527,8.723835,5.914028,1258425
13/10/2014,8.767013,8.829578,8.723835,8.803142,5.967791,493367
14/10/2014,8.809311,8.829578,8.767894,8.767894,5.943895,1049935
15/10/2014,8.776706,8.811954,8.547596,8.547596,5.794553,656808
16/10/2014,8.678894,8.723835,8.292049,8.292049,5.621314,3624756
17/10/2014,8.371356,8.494724,8.292049,8.292049,5.621314,652658
20/10/2014,8.300861,8.459476,8.287643,8.38898,5.687025,1516966
21/10/2014,8.459476,8.459476,8.327297,8.327297,5.645209,759031
22/10/2014,8.503536,8.503536,8.371356,8.403961,5.69718,476952
23/10/2014,8.446258,8.449783,8.239177,8.344921,5.657156,400613
24/10/2014,8.327297,8.371356,8.256801,8.371356,5.675076,585635
27/10/2014,8.415416,8.415416,8.254157,8.254157,5.595627,91341
