Date,Close,Net,%Chg,Open,Low,High,Volume,Turnover,O-C,H-L,%CVol,%CTurn,Flow,Trade Price,Ask,Bid
01/03/2004,21.362,,,21.747,21.305,21.747,"2,444,673","52,398,500.00",0.385,0.442,,,0,21.362,21.362,21.358
02/03/2004,21.362,0,0.00%,21.384,21.314,21.433,"1,438,079","30,737,000.00",0.022,0.119,-41.18%,-41.34%,,21.362,21.362,21.34
03/03/2004,21.23,-0.133,-0.62%,21.362,21.23,21.446,"1,716,318","36,553,100.00",0.133,0.217,19.35%,18.92%,"-36,553,100.00",21.23,21.238,21.23
04/03/2004,21.561,0.332,1.56%,21.398,21.296,21.588,"1,788,265","38,338,000.00",0.164,0.292,4.19%,4.88%,"1,784,900.00",21.561,21.561,21.552
05/03/2004,21.605,0.044,0.21%,21.583,21.561,21.849,"2,726,658","59,133,700.00",0.022,0.287,52.48%,54.24%,"60,918,600.00",21.605,21.61,21.605
08/03/2004,21.672,0.066,0.31%,21.751,21.544,21.751,"633,247","13,710,700.00",0.08,0.208,-76.78%,-76.81%,"74,629,300.00",21.672,21.676,21.672
09/03/2004,21.672,0,0.00%,21.672,21.495,21.756,"844,574","18,266,000.00",0,0.261,33.37%,33.22%,"92,895,300.00",21.672,21.681,21.672
10/03/2004,21.685,0.013,0.06%,21.544,21.539,21.756,"1,321,726","28,681,400.00",0.142,0.217,56.50%,57.02%,"121,576,700.00",21.685,21.69,21.685
11/03/2004,21.362,-0.323,-1.49%,21.539,21.212,21.539,"1,441,064","30,766,500.00",0.177,0.327,9.03%,7.27%,"90,810,200.00",21.362,21.362,21.353
12/03/2004,21.185,-0.177,-0.83%,21.141,20.942,21.243,"1,526,308","32,266,600.00",0.044,0.301,5.92%,4.88%,"58,543,600.00",21.185,21.185,21.181
15/03/2004,20.447,-0.739,-3.49%,21.008,20.363,21.053,"3,971,169","81,851,600.00",0.562,0.69,160.18%,153.67%,"-23,308,000.00",20.447,20.456,20.447
16/03/2004,20.708,0.261,1.28%,20.345,20.345,20.902,"3,348,705","69,203,800.00",0.363,0.557,-15.68%,-15.45%,"45,895,800.00",20.708,20.717,20.708
17/03/2004,20.924,0.217,1.05%,20.765,20.615,20.973,"1,928,099","40,167,800.00",0.159,0.358,-42.42%,-41.96%,"86,063,600.00",20.924,20.924,20.92
18/03/2004,20.575,-0.349,-1.67%,21.048,20.482,21.048,"1,315,562","27,163,200.00",0.473,0.566,-31.77%,-32.38%,"58,900,400.00",20.575,20.61,20.575
19/03/2004,20.699,0.124,0.60%,20.752,20.487,20.96,"1,355,277","27,973,300.00",0.053,0.473,3.02%,2.98%,"86,873,700.00",20.699,20.699,20.619
22/03/2004,20.593,-0.106,-0.51%,20.783,20.376,20.787,"1,388,972","28,487,800.00",0.19,0.411,2.49%,1.84%,"58,385,900.00",20.593,20.593,20.588
23/03/2004,20.663,0.071,0.34%,20.593,20.46,20.845,"1,354,187","28,019,400.00",0.071,0.385,-2.50%,-1.64%,"86,405,300.00",20.663,20.672,20.663
24/03/2004,20.579,-0.084,-0.41%,20.774,20.522,20.774,"1,008,672","20,807,700.00",0.195,0.252,-25.52%,-25.74%,"65,597,600.00",20.579,20.624,20.579
25/03/2004,20.858,0.279,1.35%,20.615,20.522,20.88,"1,279,994","26,572,800.00",0.243,0.358,26.90%,27.71%,"92,170,400.00",20.858,20.858,20.845
26/03/2004,20.862,0.004,0.02%,20.885,20.854,20.986,"3,354,769","70,085,100.00",0.022,0.133,162.09%,163.75%,"162,255,500.00",20.862,20.867,20.862
29/03/2004,21.044,0.181,0.87%,20.964,20.809,21.053,"1,213,734","25,424,500.00",0.08,0.243,-63.82%,-63.72%,"187,680,000.00",21.044,21.044,21.039
30/03/2004,21.199,0.155,0.74%,21.048,20.96,21.207,"1,228,570","25,967,500.00",0.15,0.248,1.22%,2.14%,"213,647,500.00",21.199,21.199,21.19
31/03/2004,21.061,-0.137,-0.65%,21.163,21.008,21.207,"1,770,401","37,375,700.00",0.102,0.199,44.10%,43.93%,"176,271,800.00",21.061,21.092,21.061
01/04/2004,20.973,-0.088,-0.42%,20.995,20.809,21.053,"2,041,182","42,711,400.00",0.022,0.243,15.30%,14.28%,"133,560,400.00",20.973,20.973,20.964
02/04/2004,21.172,0.199,0.95%,20.991,20.951,21.185,"1,897,720","40,063,200.00",0.181,0.234,-7.03%,-6.20%,"173,623,600.00",21.172,21.172,21.163
05/04/2004,21.106,-0.066,-0.31%,21.168,21.061,21.176,"1,348,326","28,485,800.00",0.062,0.115,-28.95%,-28.90%,"145,137,800.00",21.106,21.11,21.106
06/04/2004,21.123,0.018,0.08%,20.969,20.964,21.172,"1,230,526","25,973,500.00",0.155,0.208,-8.74%,-8.82%,"171,111,300.00",21.123,21.123,21.101
07/04/2004,21.185,0.062,0.29%,21.146,21.088,21.199,"1,050,582","22,235,800.00",0.04,0.111,-14.62%,-14.39%,"193,347,100.00",21.185,21.185,21.159
08/04/2004,21.163,-0.022,-0.10%,21.075,21.061,21.23,"1,385,092","29,299,400.00",0.088,0.168,31.84%,31.77%,"164,047,700.00",21.163,21.163,21.141
13/04/2004,21.415,0.252,1.19%,21.163,21.163,21.526,"1,540,959","32,934,600.00",0.252,0.363,11.25%,12.41%,"196,982,300.00",21.415,21.415,21.349
14/04/2004,21.451,0.035,0.17%,21.296,21.207,21.491,"1,905,583","40,809,400.00",0.155,0.283,23.66%,23.91%,"237,791,700.00",21.451,21.451,21.442
15/04/2004,21.207,-0.243,-1.13%,21.402,21.146,21.473,"1,370,371","29,248,100.00",0.195,0.327,-28.09%,-28.33%,"208,543,600.00",21.207,21.207,21.203
16/04/2004,21.429,0.221,1.04%,21.185,21.123,21.446,"1,447,195","30,820,800.00",0.243,0.323,5.61%,5.38%,"239,364,400.00",21.429,21.429,21.384
19/04/2004,21.252,-0.177,-0.83%,21.406,21.163,21.464,"695,372","14,811,200.00",0.155,0.301,-51.95%,-51.94%,"224,553,200.00",21.252,21.256,21.252
20/04/2004,21.287,0.035,0.17%,21.309,21.141,21.491,"796,991","17,018,000.00",0.022,0.349,14.61%,14.90%,"241,571,200.00",21.287,21.287,21.278
21/04/2004,20.818,-0.469,-2.20%,21.309,20.77,21.309,"3,478,502","72,607,200.00",0.491,0.54,336.45%,326.65%,"168,964,000.00",20.818,20.832,20.818
22/04/2004,20.743,-0.075,-0.36%,20.836,20.632,20.929,"3,256,580","67,552,700.00",0.093,0.296,-6.38%,-6.96%,"101,411,300.00",20.743,20.756,20.743
23/04/2004,20.885,0.142,0.68%,20.898,20.787,21.022,"1,521,374","31,851,300.00",0.013,0.234,-53.28%,-52.85%,"133,262,600.00",20.885,20.885,20.871
26/04/2004,20.854,-0.031,-0.15%,20.885,20.765,20.964,"1,433,688","29,895,100.00",0.031,0.199,-5.76%,-6.14%,"103,367,500.00",20.854,20.871,20.854
27/04/2004,20.624,-0.23,-1.10%,20.854,20.544,20.889,"2,605,600","53,720,400.00",0.23,0.345,81.74%,79.70%,"49,647,100.00",20.624,20.624,20.619
28/04/2004,20.54,-0.084,-0.41%,20.677,20.535,20.686,"2,204,166","45,378,300.00",0.137,0.15,-15.41%,-15.53%,"4,268,800.00",20.54,20.571,20.54
29/04/2004,20.42,-0.119,-0.58%,20.522,20.42,20.677,"1,536,222","31,488,500.00",0.102,0.257,-30.30%,-30.61%,"-27,219,700.00",20.42,20.473,20.42
30/04/2004,20.358,-0.062,-0.30%,20.522,20.283,20.522,"2,484,295","50,616,900.00",0.164,0.239,61.72%,60.75%,"-77,836,600.00",20.358,20.385,20.358
03/05/2004,20.54,0.181,0.89%,20.482,20.177,20.54,"953,278","19,446,500.00",0.057,0.363,-61.63%,-61.58%,"-58,390,100.00",20.54,20.54,20.509
04/05/2004,20.389,-0.15,-0.73%,20.442,20.305,20.637,"989,465","20,203,300.00",0.053,0.332,3.80%,3.89%,"-78,593,400.00",20.389,20.389,20.38
05/05/2004,20.438,0.049,0.24%,20.389,20.327,20.584,"2,264,976","46,242,300.00",0.049,0.257,128.91%,128.89%,"-32,351,100.00",20.438,20.456,20.438
06/05/2004,20.239,-0.199,-0.97%,20.509,20.19,20.509,"1,784,921","36,201,000.00",0.27,0.318,-21.20%,-21.72%,"-68,552,100.00",20.239,20.257,20.239
07/05/2004,20.133,-0.106,-0.52%,20.296,20.058,20.323,"1,553,792","31,321,300.00",0.164,0.265,-12.95%,-13.48%,"-99,873,400.00",20.133,20.133,20.128
10/05/2004,19.832,-0.301,-1.49%,20.093,19.819,20.115,"2,189,090","43,594,300.00",0.261,0.296,40.89%,39.18%,"-143,467,700.00",19.832,19.841,19.832
11/05/2004,20.261,0.429,2.16%,19.969,19.916,20.349,"1,867,985","37,655,500.00",0.292,0.433,-14.67%,-13.62%,"-105,812,200.00",20.261,20.265,20.261
12/05/2004,20.142,-0.119,-0.59%,20.181,20.035,20.38,"1,986,005","40,086,400.00",0.04,0.345,6.32%,6.46%,"-145,898,600.00",20.142,20.177,20.142
13/05/2004,20.327,0.186,0.92%,20.243,20.168,20.425,"808,169","16,434,200.00",0.084,0.257,-59.31%,-59.00%,"-129,464,400.00",20.327,20.336,20.327
