Date,Open,High,Low,Close,Adj Close,Volume
04/01/2000,1.505,1.505,1.4125,1.4125,0.447981,786100
05/01/2000,1.4125,1.485,1.4,1.4325,0.454324,702520
06/01/2000,1.4325,1.4325,1.4325,1.4325,0.454324,0
07/01/2000,1.475,1.51,1.4375,1.5,0.475732,319884
10/01/2000,1.5125,1.5225,1.495,1.5,0.475732,256932
11/01/2000,1.5,1.52,1.5,1.5,0.475732,290704
12/01/2000,1.5,1.5075,1.4975,1.5025,0.476525,200404
13/01/2000,1.5,1.5175,1.4975,1.4975,0.47494,216776
14/01/2000,1.495,1.525,1.4875,1.52,0.482076,1348372
17/01/2000,1.4775,1.53,1.4775,1.5,0.475732,314128
18/01/2000,1.5,1.5075,1.4625,1.4775,0.468596,1040532
19/01/2000,1.4625,1.5025,1.45,1.5025,0.476525,806060
20/01/2000,1.5125,1.5125,1.48,1.4875,0.471768,364740
21/01/2000,1.5,1.51,1.485,1.495,0.474147,351928
24/01/2000,1.505,1.51,1.495,1.5,0.475732,418352
25/01/2000,1.5075,1.5125,1.495,1.5,0.475732,348588
26/01/2000,1.495,1.505,1.495,1.5,0.475732,294324
27/01/2000,1.5,1.5,1.49,1.5,0.475732,386724
28/01/2000,1.5,1.505,1.4875,1.4875,0.471768,197472
31/01/2000,1.4875,1.5,1.425,1.4375,0.45591,889416
01/02/2000,1.4725,1.485,1.45,1.4625,0.463839,595216
02/02/2000,1.4625,1.4825,1.435,1.45,0.459875,385096
03/02/2000,1.455,1.4725,1.4375,1.465,0.464632,350812
04/02/2000,1.4725,1.4725,1.44,1.455,0.46146,403024
07/02/2000,1.45,1.4625,1.44,1.44,0.456703,244588
08/02/2000,1.44,1.45,1.4375,1.4475,0.459082,288128
09/02/2000,1.45,1.455,1.44,1.45,0.459875,620836
10/02/2000,1.44,1.4525,1.425,1.435,0.455117,445816
11/02/2000,1.445,1.445,1.4025,1.405,0.445603,390608
14/02/2000,1.4,1.4225,1.35,1.375,0.436088,1224500
15/02/2000,1.375,1.4125,1.3425,1.35,0.428159,1999644
16/02/2000,1.3625,1.3925,1.3475,1.3675,0.433709,1830944
17/02/2000,1.39,1.45,1.375,1.4025,0.44481,336480
18/02/2000,1.445,1.475,1.4125,1.44,0.456703,1252316
21/02/2000,1.4375,1.47,1.415,1.45,0.459875,488748
22/02/2000,1.4525,1.6675,1.45,1.6675,0.528856,4741612
23/02/2000,1.9,1.9,1.675,1.675,0.531234,12713784
24/02/2000,1.78,1.7875,1.6025,1.6375,0.519341,4469160
25/02/2000,1.685,2.3475,1.685,2.3075,0.731835,20705416
28/02/2000,2.345,3.1125,2.345,2.61,0.827774,42543600
29/02/2000,2.8,2.875,2.525,2.7,0.856318,14687116
01/03/2000,2.775,2.775,2.5,2.5,0.792887,6859692
