Date,Open,High,Low,Close,Adj Close,Volume
06/12/2007,9.45,9.74,9.45,9.64,7.520546,406059
07/12/2007,9.6,9.65,9.6,9.62,7.504945,666005
10/12/2007,9.65,10.1,9.62,10.1,7.879412,943248
11/12/2007,10.09,10.25,9.99,9.99,7.793596,528290
12/12/2007,9.96,10.1,9.85,10.05,7.840405,105249
13/12/2007,10.1,10.1,9.9,9.97,7.777994,255155
14/12/2007,10,10.08,9.85,9.9,7.723382,133730
17/12/2007,10,10.05,9.9,9.99,7.793596,78786
18/12/2007,9.99,10.15,9.91,10,7.801398,372633
19/12/2007,10.2,10.3,10.1,10.2,7.957426,187486
20/12/2007,10.2,10.8,10.1,10.25,7.996434,180108
21/12/2007,10.4,10.4,10,10.15,7.918417,398814
24/12/2007,10.15,10.15,10.15,10.15,7.918417,0
27/12/2007,10.3,10.3,10,10.07,7.856005,53122
28/12/2007,10.13,10.75,10.13,10.75,8.386501,154500
02/01/2008,10.26,10.99,10.2,10.7,8.347494,308698
03/01/2008,10.76,10.76,10.33,10.7,8.347494,209218
04/01/2008,10.6,10.68,10.27,10.48,8.175863,130748
07/01/2008,10.48,10.79,10.37,10.38,8.09785,37638
08/01/2008,10.54,10.8,10.1,10.8,8.425508,112921
09/01/2008,10.99,11,10.35,10.8,8.425508,188804
10/01/2008,10.97,11.4,10.66,11.05,8.620543,88635
11/01/2008,10.97,11.1,10.46,10.68,8.331891,62670
14/01/2008,11.49,11.49,10.9,11.37,8.870188,275232
15/01/2008,11.55,11.65,10.73,10.87,8.480118,125326
16/01/2008,10.8,11.04,10.5,10.89,8.49572,119262
17/01/2008,11,11.22,10.85,11,8.581536,144900
18/01/2008,11,11,10.5,10.71,8.355296,49792
21/01/2008,10.54,10.85,10.05,10.09,7.87161,430232
22/01/2008,10,10.3,10,10.3,8.035439,363785
23/01/2008,10.49,10.7,10.19,10.55,8.230474,70902
24/01/2008,10.58,10.85,10.3,10.75,8.386501,183617
25/01/2008,10.9,10.92,9.82,10.75,8.386501,186825
28/01/2008,10.7,10.7,10.2,10.29,8.027638,199025
29/01/2008,10.54,10.54,10.35,10.49,8.183664,134723
30/01/2008,10.4,10.6,10.25,10.55,8.230474,24497
31/01/2008,10.08,10.63,10.03,10.6,8.269481,102804
01/02/2008,10.47,10.71,10.47,10.61,8.277281,42506
04/02/2008,10.38,10.78,10.26,10.47,8.168063,54610
05/02/2008,10.5,10.5,10.11,10.18,7.941822,74126
06/02/2008,10.11,10.5,10.11,10.46,8.160262,35773
07/02/2008,10.5,10.68,10.31,10.35,8.074445,89109
08/02/2008,10.32,10.55,10.29,10.29,8.027638,58720
11/02/2008,10.61,10.61,10.3,10.48,8.175863,34975
12/02/2008,10.5,10.5,10.32,10.48,8.175863,74313
13/02/2008,10.5,10.5,10.4,10.48,8.175863,78851
14/02/2008,10.5,10.6,10.21,10.6,8.269481,148210
15/02/2008,10.65,10.65,10.35,10.5,8.191466,10473
18/02/2008,10.3,10.64,10.2,10.2,7.957426,50789
19/02/2008,10.2,10.35,10.2,10.27,8.012035,16200
20/02/2008,10.2,10.55,10.2,10.48,8.175863,46219
21/02/2008,10.6,11.03,10.6,10.9,8.503522,152074
22/02/2008,11.28,12.18,10.93,11.48,8.956004,298432
25/02/2008,11.59,11.6,11.2,11.58,9.034019,181566
26/02/2008,11.38,11.5,11.2,11.4,8.893591,70208
27/02/2008,11.6,11.75,11.08,11.08,8.643948,274256
28/02/2008,11,11.29,11,11.11,8.667353,113236
29/02/2008,11,11.18,10.85,10.85,8.464515,48443
03/03/2008,10.75,10.75,10,10.24,7.98863,118209
04/03/2008,10.2,10.2,9.6,10.05,7.840405,161701
05/03/2008,10.2,11,10.2,10.51,8.199268,13778
06/03/2008,10.74,10.74,10.04,10.21,7.965227,37770
07/03/2008,10.39,10.39,9.92,10.11,7.887212,15587
10/03/2008,10,10.18,9.78,9.78,7.629767,190014
11/03/2008,9.91,9.97,9.71,9.71,7.575157,100086
12/03/2008,10,10,9.76,9.93,7.746786,89707
13/03/2008,9.76,10.38,9.75,10.34,8.066645,43792
14/03/2008,10.1,10.44,9.91,10.05,7.840405,54546
17/03/2008,9.99,10,9.76,10,7.801398,83866
18/03/2008,9.91,10.2,9.91,10.18,7.941822,20196
19/03/2008,10.18,10.34,10,10.14,7.910617,32870
20/03/2008,10.14,10.14,10.02,10.09,7.87161,97276
25/03/2008,10.14,10.32,9.76,9.9,7.723382,134154
26/03/2008,9.88,9.88,9.68,9.85,7.684375,92028
27/03/2008,9.75,9.88,9.6,9.7,7.567355,118655
28/03/2008,9.6,9.99,9.6,9.99,7.793596,33097
31/03/2008,9.99,10.21,9.94,10.21,7.965227,35342
01/04/2008,10.41,10.81,10.11,10.81,8.433311,56768
02/04/2008,10.21,10.8,10.21,10.7,8.347494,86005
03/04/2008,10.78,10.78,10.36,10.36,8.082248,68830
04/04/2008,10.49,10.49,10.2,10.4,8.113452,33577
07/04/2008,10.15,10.55,10.15,10.46,8.160262,45287
08/04/2008,10.15,10.39,10.02,10.02,7.816999,33870
09/04/2008,10.3,10.3,10,10,7.801398,18495
10/04/2008,9.7,10,9.7,9.87,7.699979,45863
11/04/2008,10,10,9.77,9.8,7.64537,46579
14/04/2008,9.95,9.95,9.75,9.9,7.723382,25097
15/04/2008,10,10.05,9.9,9.9,7.723382,14125
16/04/2008,10.05,10.05,9.8,9.8,7.64537,33148
17/04/2008,10,10,9.83,9.83,7.668772,33312
18/04/2008,9.83,10,9.83,9.98,7.785794,46520
21/04/2008,10.05,10.05,9.7,9.8,7.64537,30294
22/04/2008,9.75,10.19,9.74,10.04,7.832602,70213
23/04/2008,10.15,10.15,9.83,9.9,7.723382,24047
24/04/2008,9.98,9.98,9.84,9.9,7.723382,26851
25/04/2008,9.88,9.97,9.8,9.9,7.723382,85872
28/04/2008,9.8,9.89,9.8,9.8,7.64537,81410
29/04/2008,9.8,9.88,9.7,9.72,7.582959,17305
30/04/2008,9.85,9.88,9.75,9.85,7.684375,51444
02/05/2008,9.88,9.95,9.76,9.82,7.660972,25233
05/05/2008,9.94,9.94,9.79,9.8,7.64537,6505
06/05/2008,9.91,9.93,9.71,9.75,7.606362,46846
07/05/2008,9.85,9.85,9.71,9.75,7.606362,10782
08/05/2008,9.78,9.95,9.75,9.85,7.684375,17088
09/05/2008,9.85,9.85,9.76,9.76,7.614164,7294
12/05/2008,9.8,9.8,9.75,9.79,7.637566,12694
13/05/2008,9.85,9.85,9.75,9.75,7.606362,17198
14/05/2008,9.78,9.9,9.75,9.81,7.653172,78473
15/05/2008,9.9,9.9,9.77,9.87,7.699979,3283
16/05/2008,9.86,9.87,9.75,9.75,7.606362,24192
19/05/2008,9.7,9.84,9.69,9.76,7.614164,26398
20/05/2008,9.71,9.84,9.5,9.5,7.411329,165445
21/05/2008,9.54,9.79,9.3,9.7,7.567355,111948
22/05/2008,9.76,9.76,9.41,9.6,7.489343,29246
23/05/2008,9.6,9.7,9.45,9.5,7.411329,57451
26/05/2008,9.7,9.7,9.5,9.55,7.450335,6857
27/05/2008,9.6,9.6,9.4,9.49,7.403525,320132
28/05/2008,9.6,9.6,9.53,9.6,7.489343,6892
29/05/2008,9.6,9.6,9.4,9.6,7.489343,131782
30/05/2008,9.74,10.22,9.55,10.22,7.97303,131038
02/06/2008,10.2,10.2,9.62,10,7.801398,139809
03/06/2008,10.02,10.5,9.76,10.3,8.035439,66951
