Date,Open,High,Low,Close,Adj Close,Volume
04/01/2000,9.728231,9.780161,9.529166,9.615716,2.541533,8811013
05/01/2000,9.433961,9.555131,9.304136,9.382031,2.479767,9333517
06/01/2000,9.382031,9.382031,9.382031,9.382031,2.479767,0
07/01/2000,9.451271,9.823436,9.442616,9.797471,2.589573,9603132
10/01/2000,9.884021,9.884021,9.624371,9.710921,2.566695,6747710
11/01/2000,9.693611,9.710921,9.217585,9.382031,2.479767,15293569
12/01/2000,9.27817,9.295481,9.13969,9.295481,2.45689,12052290
13/01/2000,9.347411,9.356066,9.096415,9.217585,2.436302,11043549
14/01/2000,9.26086,9.529166,9.19162,9.459926,2.500355,15745712
17/01/2000,9.607061,9.624371,9.131035,9.20893,2.434015,31619384
18/01/2000,9.17431,9.17431,8.68963,8.74156,2.310483,20093136
19/01/2000,8.663665,8.750215,8.542495,8.74156,2.310483,20666919
20/01/2000,8.82811,9.07045,8.79349,8.923315,2.358524,11769910
21/01/2000,8.9839,9.061795,8.594425,8.646355,2.28532,18255137
24/01/2000,8.74156,8.91466,8.65501,8.74156,2.310483,9894501
25/01/2000,8.65501,8.75887,8.60308,8.74156,2.310483,15844637
26/01/2000,8.854075,8.992555,8.74156,8.96659,2.369961,22642896
27/01/2000,9.061795,9.07045,8.871385,8.992555,2.376825,50176740
28/01/2000,9.03583,9.03583,8.680975,8.715595,2.30362,13102872
31/01/2000,8.74156,8.84542,8.611735,8.715595,2.316271,49721466
01/02/2000,9.780161,9.780161,8.680975,8.819455,2.343875,11642759
02/02/2000,8.89735,8.906005,8.698285,8.819455,2.343875,10673286
03/02/2000,8.84542,9.03583,8.74156,8.940625,2.376076,11396777
04/02/2000,9.044485,9.12238,8.923315,9.01852,2.396779,13899128
07/02/2000,9.12238,9.295481,9.061795,9.295481,2.470383,12468731
08/02/2000,9.312791,9.511856,9.19162,9.451271,2.511787,12234462
09/02/2000,9.520511,9.520511,9.13969,9.27817,2.465783,10918965
10/02/2000,9.200275,9.27817,8.96659,9.08776,2.415179,9146146
11/02/2000,9.08776,9.096415,8.525185,8.594425,2.284069,17391741
14/02/2000,8.93197,9.364721,8.611735,9.009865,2.394477,26742175
15/02/2000,9.131035,9.442616,9.044485,9.157,2.43358,21321476
16/02/2000,9.373376,9.641681,9.22624,9.615716,2.55549,33672600
17/02/2000,9.546476,9.762851,9.529166,9.607061,2.55319,16808772
18/02/2000,9.615716,9.650336,9.364721,9.364721,2.488785,18340717
21/02/2000,9.304136,9.589751,9.26086,9.529166,2.532489,8925338
22/02/2000,9.520511,9.650336,9.295481,9.399341,2.497986,11592996
23/02/2000,9.477236,9.607061,9.304136,9.607061,2.55319,9405260
24/02/2000,9.520511,9.598406,9.304136,9.347411,2.484185,11082867
25/02/2000,9.373376,9.555131,9.304136,9.407996,2.500287,9944867
28/02/2000,9.433961,9.485891,9.286826,9.356066,2.486484,9537525
29/02/2000,9.399341,9.607061,9.356066,9.433961,2.507187,7498301
01/03/2000,9.477236,9.494546,9.321446,9.416651,2.502587,9141201
02/03/2000,9.468581,9.589751,9.442616,9.563786,2.541689,14128833
03/03/2000,9.650336,9.736886,9.433961,9.468581,2.516386,16796144
06/03/2000,9.624371,9.624371,9.433961,9.433961,2.507187,12355814
07/03/2000,9.451271,9.563786,9.364721,9.399341,2.497986,10034784
08/03/2000,9.356066,9.563786,9.347411,9.477236,2.518687,9208349
09/03/2000,9.485891,9.650336,9.433961,9.546476,2.537088,14804511
10/03/2000,9.641681,9.684956,9.494546,9.684956,2.573891,59945035
13/03/2000,9.676301,9.676301,9.676301,9.676301,2.571591,0
14/03/2000,9.736886,9.771506,9.572441,9.771506,2.596893,23476575
15/03/2000,9.633026,9.909986,9.607061,9.849401,2.617593,33445529
16/03/2000,9.935951,10.039811,9.892676,10.013846,2.661298,16516306
17/03/2000,10.135017,10.386012,10.057121,10.264842,2.728003,24520456
20/03/2000,10.212912,10.377357,10.212912,10.256187,2.725703,20072443
21/03/2000,10.178292,10.273497,9.909986,10.126361,2.6912,11023983
22/03/2000,10.126361,10.256187,9.927296,10.022501,2.663599,12947772
23/03/2000,10.039811,10.143672,9.823436,9.849401,2.617593,10456218
24/03/2000,9.840746,10.065776,9.780161,9.979226,2.652098,5547595
27/03/2000,9.875366,9.979226,9.780161,9.884021,2.626794,6323555
28/03/2000,9.840746,10.117706,9.823436,10.057121,2.672799,7847503
29/03/2000,9.961916,10.074431,9.875366,9.961916,2.647497,5076510
30/03/2000,9.866711,9.935951,9.754196,9.832091,2.612994,8482743
31/03/2000,9.745541,9.823436,9.719576,9.719576,2.583091,25821725
03/04/2000,9.719576,9.840746,9.633026,9.736886,2.587692,7839585
04/04/2000,9.771506,10.039811,9.762851,9.840746,2.615294,21091401
05/04/2000,9.858056,9.953261,9.572441,9.676301,2.571591,12807044
06/04/2000,9.693611,9.693611,9.390686,9.399341,2.497986,21512475
07/04/2000,9.511856,9.615716,9.451271,9.589751,2.548589,11061083
10/04/2000,9.615716,9.771506,9.503201,9.762851,2.594593,8624985
11/04/2000,9.607061,9.771506,9.607061,9.615716,2.55549,8956274
12/04/2000,9.771506,9.832091,9.589751,9.702266,2.578491,7841431
13/04/2000,9.684956,9.979226,9.667646,9.935951,2.640594,11700748
14/04/2000,9.909986,10.039811,9.667646,9.780161,2.599193,11107265
17/04/2000,9.433961,9.676301,9.286826,9.633026,2.560091,27652226
18/04/2000,9.693611,9.745541,9.407996,9.555131,2.539389,9282542
19/04/2000,9.607061,9.624371,9.442616,9.442616,2.509487,15705839
20/04/2000,9.494546,9.771506,9.433961,9.719576,2.583091,22860411
21/04/2000,9.546476,9.546476,9.546476,9.546476,2.537088,0
24/04/2000,9.546476,9.546476,9.546476,9.546476,2.537088,0
25/04/2000,9.633026,9.866711,9.563786,9.840746,2.615294,11835006
26/04/2000,9.944606,9.996536,9.788816,9.909986,2.633696,8248167
27/04/2000,9.909986,9.909986,9.581096,9.667646,2.569291,9681403
28/04/2000,9.736886,9.953261,9.676301,9.927296,2.638296,24653673
01/05/2000,9.546476,9.546476,9.546476,9.546476,2.537088,0
02/05/2000,9.909986,10.117706,9.849401,10.117706,2.703081,8099687
03/05/2000,9.961916,10.083086,9.676301,9.693611,2.58978,9926485
04/05/2000,9.684956,9.935951,9.667646,9.840746,2.643841,10449404
05/05/2000,9.823436,9.944606,9.650336,9.650336,2.592686,7258987
08/05/2000,9.667646,9.745541,9.607061,9.710921,2.608963,7733630
09/05/2000,9.546476,9.546476,9.546476,9.546476,2.564783,0
10/05/2000,9.399341,9.477236,9.07045,9.12238,2.450844,15409929
11/05/2000,9.00121,9.338756,8.91466,9.338756,2.508976,11701615
12/05/2000,9.304136,9.425306,9.12238,9.27817,2.492698,6698074
15/05/2000,9.295481,9.330101,9.08776,9.19162,2.469445,11258936
16/05/2000,9.338756,9.416651,9.252205,9.295481,2.497348,9471107
17/05/2000,9.304136,9.321446,8.91466,8.957935,2.406663,15645770
18/05/2000,9.00121,9.148345,8.957935,9.05314,2.432242,14660202
19/05/2000,9.044485,9.061795,8.698285,8.88004,2.385736,12520528
22/05/2000,8.871385,9.01852,8.70694,8.74156,2.348532,8095259
23/05/2000,8.86273,8.888695,8.65501,8.784835,2.360158,8648401
24/05/2000,8.698285,8.854075,8.68963,8.77618,2.357833,8304255
25/05/2000,8.84542,9.079105,8.750215,9.079105,2.439218,8360912
26/05/2000,8.88004,9.00121,8.82811,8.906005,2.392712,5807143
29/05/2000,9.546476,9.546476,9.546476,9.546476,2.564783,0
30/05/2000,8.94928,9.079105,8.802145,9.01852,2.42294,8586728
31/05/2000,9.096415,9.13969,8.923315,9.096415,2.443869,8209328
01/06/2000,9.044485,9.433961,9.027175,9.433961,2.534555,10039805
02/06/2000,9.356066,9.520511,9.269515,9.416651,2.529903,14161057
05/06/2000,9.511856,9.520511,9.373376,9.399341,2.525252,6982742
06/06/2000,9.433961,9.442616,9.061795,9.148345,2.457819,10923693
07/06/2000,9.12238,9.312791,8.940625,9.304136,2.499674,9849801
08/06/2000,9.382031,9.433961,9.269515,9.390686,2.522928,8613897
09/06/2000,9.390686,9.433961,9.19162,9.19162,2.469445,9285829
12/06/2000,9.26086,9.286826,8.957935,9.08776,2.441543,7653153
13/06/2000,9.165655,9.252205,9.044485,9.061795,2.434566,7773472
14/06/2000,9.10507,9.234895,9.01852,9.17431,2.464795,12226421
15/06/2000,9.113725,9.330101,9.07045,9.330101,2.506651,12749979
16/06/2000,9.304136,9.433961,9.182965,9.433961,2.534555,27723583
19/06/2000,9.546476,9.546476,9.546476,9.546476,2.564783,0
20/06/2000,9.338756,9.347411,9.217585,9.217585,2.476421,8990964
21/06/2000,9.182965,9.26086,9.061795,9.08776,2.441543,10625113
22/06/2000,9.17431,9.382031,9.13969,9.347411,2.511301,8573923
23/06/2000,9.373376,9.425306,9.17431,9.26086,2.488048,6318510
26/06/2000,9.304136,9.468581,9.269515,9.407996,2.527577,7487362
27/06/2000,9.286826,9.451271,9.286826,9.433961,2.534555,6215511
28/06/2000,9.425306,9.459926,9.338756,9.425306,2.532228,7977850
