Date,Open,High,Low,Close,Adj Close,Volume
04/01/2000,24.469675,24.786051,23.283266,23.698509,6.7144,15091975
05/01/2000,22.749384,23.21406,22.433006,22.591194,6.400671,16630986
06/01/2000,22.591194,22.591194,22.591194,22.591194,6.400671,0
07/01/2000,22.640629,22.680176,22.264933,22.630741,6.411875,17595592
10/01/2000,23.698509,23.698509,23.045984,23.312927,6.605155,11308250
11/01/2000,23.678736,23.678736,22.986664,23.332701,6.610757,12123958
12/01/2000,23.05587,23.619415,22.779043,22.788931,6.456694,18074556
13/01/2000,23.72817,26.199854,23.579868,24.173073,6.848856,39018978
14/01/2000,24.222506,25.112312,23.925903,24.914577,7.058944,37773067
17/01/2000,25.606649,26.901812,25.408915,26.348154,7.465112,28658816
18/01/2000,26.842491,27.465357,26.150419,26.199854,7.423096,27540490
19/01/2000,26.002119,26.615097,25.834045,26.002119,7.367075,17701875
20/01/2000,25.903252,26.170195,25.2705,25.349594,7.182194,18233527
21/01/2000,24.904692,25.339708,24.617975,24.954124,7.070151,18082962
24/01/2000,24.914577,25.438576,24.568542,24.81571,7.030933,15023064
25/01/2000,24.410355,24.608089,23.975338,24.113752,6.83205,15968604
26/01/2000,24.370808,24.904692,24.202732,24.904692,7.056145,20536096
27/01/2000,25.359482,26.733738,25.132086,26.189966,7.420297,25442002
28/01/2000,26.496456,26.694191,25.656082,26.051554,7.381079,18460639
31/01/2000,25.606649,26.091101,25.21118,25.606649,7.255027,17079021
01/02/2000,25.715405,26.743626,25.616535,26.565662,7.52674,19993693
02/02/2000,26.595324,27.82128,26.377815,27.455469,7.778841,21607501
03/02/2000,27.672977,28.622105,27.495016,28.523237,8.081372,20348158
04/02/2000,28.671537,29.610779,28.661652,28.869272,8.179412,17649745
07/02/2000,28.908819,29.462477,28.285955,28.285955,8.014144,16309090
08/02/2000,28.622105,29.502024,28.473804,29.017574,8.221428,13979970
09/02/2000,29.215309,31.331072,29.18565,30.352283,8.599586,22322055
10/02/2000,29.857946,31.123449,29.808514,30.312737,8.588383,22227939
11/02/2000,30.955376,31.578239,30.708206,31.578239,8.946934,16819036
14/02/2000,31.686993,32.033028,30.905941,31.153109,8.826481,16445950
15/02/2000,31.044355,31.153109,29.867834,29.907381,8.473535,15080465
16/02/2000,30.154549,30.342398,28.819839,29.363609,8.319469,26510302
17/02/2000,29.363609,29.798626,28.473804,29.116442,8.24944,12978426
18/02/2000,29.165874,29.72942,29.067007,29.235083,8.283056,14424677
21/02/2000,28.473804,28.849501,28.206861,28.454029,8.061763,9806791
22/02/2000,28.27607,28.987913,27.63343,27.781733,7.871284,18251784
23/02/2000,28.0289,28.533125,27.860826,28.058561,7.949717,21328592
24/02/2000,28.473804,29.610779,28.414482,28.800066,8.159804,17394443
25/02/2000,29.215309,29.541571,29.037348,29.432817,8.339079,12404587
28/02/2000,29.264744,29.541571,28.869272,29.017574,8.221428,10612611
29/02/2000,29.215309,29.709646,28.819839,29.511911,8.361489,12789557
01/03/2000,29.78874,30.401716,29.413044,29.561344,8.375495,13184409
02/03/2000,29.808514,31.143223,29.581118,31.143223,8.823677,20137906
