Date,Close,Open,High,Low,Volume,% var.,,
25/06/2004,"10,916","10,614","10,979","10,588","18,34M","2,41%",,
28/06/2004,"11,236","10,996","11,281","10,970","9,16M","2,93%",,FALSE
29/06/2004,"10,943","11,236","11,307","10,943","5,22M","-2,61%",,FALSE
30/06/2004,"10,899","11,023","11,041","10,872","3,67M","-0,40%",,FALSE
01/07/2004,"10,925","11,005","11,165","10,908","3,03M","0,24%",,TRUE
02/07/2004,"11,023","10,952","11,050","10,925","1,45M","0,90%",,TRUE
05/07/2004,"10,837","11,032","11,041","10,792","1,61M","-1,69%",,
06/07/2004,"10,837","10,872","11,005","10,703","2,45M","0,00%",,
07/07/2004,"10,908","10,819","10,943","10,819","1,65M","0,66%",,
08/07/2004,"11,076","10,943","11,103","10,819","2,10M","1,54%",,
09/07/2004,"11,298","11,032","11,298","11,032","2,62M","2,00%",,
12/07/2004,"11,236","11,325","11,512","11,174","3,55M","-0,55%",,
13/07/2004,"11,458","11,307","11,476","11,245","2,55M","1,98%",,
14/07/2004,"11,592","11,449","11,627","11,414","4,29M","1,17%",,
15/07/2004,"11,618","11,636","11,778","11,467","3,63M","0,22%",,
16/07/2004,"11,689","11,627","11,716","11,503","1,49M","0,61%",,
19/07/2004,"11,822","11,645","11,858","11,636","1,83M","1,14%",,
20/07/2004,"11,991","11,885","12,036","11,876","4,17M","1,43%",,
21/07/2004,"11,769","12,071","12,124","11,769","3,11M","-1,85%",,
22/07/2004,"11,369","11,760","11,822","11,369","2,17M","-3,40%",,
23/07/2004,"11,041","11,494","11,520","10,943","3,94M","-2,89%",,
26/07/2004,"10,837","11,032","11,085","10,792","2,43M","-1,85%",,
27/07/2004,"11,316","10,925","11,316","10,881","2,08M","4,42%",,
28/07/2004,"11,547","11,476","11,751","11,414","3,07M","2,04%",,
29/07/2004,"11,689","11,671","11,867","11,618","2,40M","1,23%",,
30/07/2004,"11,663","11,814","11,822","11,592","1,15M","-0,22%",,
02/08/2004,"11,343","11,547","11,636","11,236","806,23K","-2,74%",,
03/08/2004,"11,236","11,405","11,520","11,121","858,67K","-0,94%",,
04/08/2004,"11,174","11,210","11,236","11,023","806,59K","-0,55%",,
05/08/2004,"11,245","11,227","11,343","11,130","902,36K","0,64%",,
06/08/2004,"11,023","11,121","11,281","10,925","1,53M","-1,97%",,
09/08/2004,"10,837","11,023","11,041","10,810","916,72K","-1,69%",,
10/08/2004,"10,943","10,881","10,996","10,837","759,37K","0,98%",,
11/08/2004,"10,837","11,059","11,192","10,739","1,02M","-0,97%",,
12/08/2004,"10,934","10,837","11,050","10,837","2,25M","0,90%",,
13/08/2004,"11,112","10,872","11,147","10,837","1,00M","1,63%",,
17/08/2004,"11,290","11,210","11,352","11,210","810,82K","1,60%",,
18/08/2004,"11,396","11,405","11,441","11,201","479,80K","0,94%",,
19/08/2004,"11,307","11,432","11,432","11,281","914,21K","-0,78%",,
20/08/2004,"11,369","11,236","11,369","11,201","242,81K","0,55%",,
23/08/2004,"11,547","11,441","11,583","11,387","511,07K","1,57%",,
24/08/2004,"11,565","11,547","11,654","11,458","414,07K","0,16%",,
25/08/2004,"11,414","11,547","11,627","11,414","350,73K","-1,31%",,
26/08/2004,"11,503","11,503","11,547","11,485","769,93K","0,78%",,
27/08/2004,"11,503","11,538","11,547","11,414","193,57K","0,00%",,
30/08/2004,"11,485","11,485","11,503","11,387","241,97K","-0,16%",,
31/08/2004,"11,458","11,503","11,512","11,272","2,52M","-0,24%",,
01/09/2004,"11,458","11,494","11,494","11,396","382,32K","0,00%",,
02/09/2004,"11,325","11,414","11,414","11,325","635,76K","-1,16%",,
03/09/2004,"11,458","11,281","11,503","11,245","1,10M","1,17%",,
06/09/2004,"11,503","11,520","11,547","11,458","628,90K","0,39%",,
07/09/2004,"11,405","11,476","11,476","11,352","564,75K","-0,85%",,
08/09/2004,"11,680","11,441","11,680","11,414","2,48M","2,41%",,
09/09/2004,"11,689","11,663","11,805","11,547","2,43M","0,08%",,
10/09/2004,"11,725","11,725","11,769","11,680","1,02M","0,31%",,
13/09/2004,"12,267","11,743","12,267","11,725","3,55M","4,62%",,
14/09/2004,"12,293","12,275","12,382","12,187","1,51M","0,21%",,
15/09/2004,"12,133","12,258","12,498","12,089","1,68M","-1,30%",,
16/09/2004,"12,524","12,151","12,560","12,107","1,65M","3,22%",,
17/09/2004,"12,435","12,524","12,631","12,329","1,93M","-0,71%",,
20/09/2004,"12,418","12,462","12,498","12,284","493,36K","-0,14%",,
21/09/2004,"12,435","12,489","12,569","12,391","1,34M","0,14%",,
22/09/2004,"12,533","12,506","12,702","12,435","2,16M","0,79%",,
23/09/2004,"12,471","12,435","12,577","12,409","944,92K","-0,49%",,
24/09/2004,"12,782","12,471","12,791","12,435","1,10M","2,49%",,
27/09/2004,"12,693","12,728","12,737","12,604","923,80K","-0,70%",,
28/09/2004,"12,986","12,613","13,102","12,613","1,79M","2,31%",,
29/09/2004,"13,066","13,102","13,190","12,879","1,48M","0,62%",,
30/09/2004,"12,933","13,119","13,155","12,835","722,29K","-1,02%",,
01/10/2004,"13,022","12,951","13,075","12,817","970,40K","0,69%",,
04/10/2004,"13,066","12,968","13,235","12,968","1,14M","0,34%",,
05/10/2004,"12,888","13,048","13,190","12,879","866,38K","-1,36%",,
06/10/2004,"13,324","12,924","13,324","12,924","1,59M","3,38%",,
07/10/2004,"13,572","13,368","13,661","13,350","3,94M","1,86%",,
08/10/2004,"14,034","13,457","14,478","13,457","3,90M","3,40%",,
11/10/2004,"14,292","14,194","14,327","13,910","1,56M","1,84%",,
13/10/2004,"14,603","14,389","14,914","14,318","4,44M","2,18%",,
14/10/2004,"14,141","14,656","14,736","13,954","2,94M","-3,16%",,
15/10/2004,"13,981","14,123","14,381","13,865","3,43M","-1,13%",,
18/10/2004,"13,706","14,096","14,150","13,617","1,04M","-1,97%",,
19/10/2004,"13,226","13,501","13,697","12,906","6,86M","-3,50%",,
20/10/2004,"13,279","13,190","13,386","13,102","2,75M","0,40%",,
21/10/2004,"13,492","13,324","13,492","13,110","2,16M","1,60%",,
22/10/2004,"13,590","13,599","13,750","13,457","1,46M","0,73%",,
25/10/2004,"13,306","13,483","13,483","13,226","1,08M","-2,09%",,
26/10/2004,"13,679","13,341","13,732","13,341","1,72M","2,80%",,
27/10/2004,"13,457","13,679","13,830","13,261","2,28M","-1,62%",,
28/10/2004,"13,537","13,546","13,581","13,386","897,66K","0,59%",,
29/10/2004,"13,297","13,421","13,501","13,253","932,40K","-1,77%",,
02/11/2004,"13,190","13,457","13,457","13,190","1,92M","-0,80%",,
03/11/2004,"13,119","13,217","13,297","13,119","1,22M","-0,54%",,
04/11/2004,"12,604","13,173","13,190","12,569","3,75M","-3,93%",,
05/11/2004,"12,853","12,746","12,915","12,720","2,48M","1,98%",,
08/11/2004,"13,022","12,871","13,022","12,808","1,14M","1,31%",,
09/11/2004,"12,915","13,004","13,102","12,897","1,03M","-0,82%",,
10/11/2004,"13,181","12,862","13,181","12,862","1,01M","2,06%",,
11/11/2004,"13,155","13,270","13,270","13,084","586,32K","-0,20%",,
12/11/2004,"13,173","13,261","13,261","13,084","1,21M","0,14%",,
15/11/2004,"13,261","13,235","13,297","13,137","604,07K","0,67%",,
16/11/2004,"12,915","13,315","13,315","12,888","1,08M","-2,61%",,
17/11/2004,"12,959","12,968","13,039","12,906","798,49K","0,34%",,
18/11/2004,"12,924","12,951","13,030","12,915","845,47K","-0,27%",,
19/11/2004,"12,977","12,897","13,137","12,897","1,28M","0,41%",,
22/11/2004,"12,942","12,879","12,977","12,879","390,97K","-0,27%",,
23/11/2004,"13,013","12,986","13,093","12,986","1,43M","0,55%",,
24/11/2004,"13,039","13,084","13,102","12,933","753,22K","0,20%",,
25/11/2004,"12,968","13,039","13,110","12,951","881,23K","-0,54%",,
